,2024-06-30
TaxEffectOfUnusualItems,-270882000.0
TaxRateForCalcs,0.202
NormalizedEBITDA,23923000000.0
TotalUnusualItems,-1341000000.0
TotalUnusualItemsExcludingGoodwill,-1341000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,14879000000.0
ReconciledDepreciation,2896000000.0
ReconciledCostOfRevenue,40848000000.0
EBITDA,22582000000.0
EBIT,19686000000.0
NetInterestIncome,-452000000.0
InterestExpense,925000000.0
InterestIncome,473000000.0
NormalizedIncome,15949118000.0
NetIncomeFromContinuingAndDiscontinuedOperation,14879000000.0
TotalExpenses,64153000000.0
TotalOperatingIncomeAsReported,18545000000.0
DilutedAverageShares,2471900000.0
BasicAverageShares,2360100000.0
DilutedEPS,6.02
BasicEPS,6.18
DilutedNIAvailtoComStockholders,14879000000.0
AverageDilutionEarnings,284000000.0
NetIncomeCommonStockholders,14595000000.0
PreferredStockDividends,284000000.0
NetIncome,14879000000.0
MinorityInterests,-95000000.0
NetIncomeIncludingNoncontrollingInterests,14974000000.0
NetIncomeContinuousOperations,14974000000.0
TaxProvision,3787000000.0
PretaxIncome,18761000000.0
OtherIncomeExpense,-673000000.0
OtherNonOperatingIncomeExpenses,668000000.0
SpecialIncomeCharges,-1341000000.0
ImpairmentOfCapitalAssets,1341000000.0
NetNonOperatingInterestIncomeExpense,-452000000.0
InterestExpenseNonOperating,925000000.0
InterestIncomeNonOperating,473000000.0
OperatingIncome,19886000000.0
OperatingExpense,23305000000.0
SellingGeneralAndAdministration,23305000000.0
GrossProfit,43191000000.0
CostOfRevenue,40848000000.0
TotalRevenue,84039000000.0
OperatingRevenue,84039000000.0
