,2023-12-31
TreasurySharesNumber,20434584.0
OrdinarySharesNumber,254543290.0
ShareIssued,274977874.0
NetDebt,9574100000.0
TotalDebt,11809700000.0
TangibleBookValue,-7790700000.0
InvestedCapital,13566700000.0
WorkingCapital,-1114000000.0
NetTangibleAssets,-7790700000.0
CapitalLeaseObligations,1958800000.0
CommonStockEquity,3715800000.0
TotalCapitalization,12093700000.0
TotalEquityGrossMinorityInterest,3715800000.0
StockholdersEquity,3715800000.0
OtherEquityInterest,
GainsLossesNotAffectingRetainedEarnings,-624300000.0
OtherEquityAdjustments,-624300000.0
ForeignCurrencyTranslationAdjustments,
MinimumPensionLiabilities,
TreasuryStock,5233600000.0
RetainedEarnings,5288300000.0
AdditionalPaidInCapital,4193600000.0
CapitalStock,91800000.0
CommonStock,91800000.0
TotalLiabilitiesNetMinorityInterest,19238600000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,12611700000.0
OtherNonCurrentLiabilities,1908000000.0
EmployeeBenefits,133200000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,133200000.0
NonCurrentAccruedExpenses,
NonCurrentDeferredLiabilities,683100000.0
NonCurrentDeferredTaxesLiabilities,683100000.0
LongTermDebtAndCapitalLeaseObligation,9887400000.0
LongTermCapitalLeaseObligation,1509500000.0
LongTermDebt,8377900000.0
CurrentLiabilities,6626900000.0
CurrentDebtAndCapitalLeaseObligation,1922300000.0
CurrentCapitalLeaseObligation,449300000.0
CurrentDebt,1473000000.0
OtherCurrentBorrowings,1098800000.0
LineOfCredit,26500000.0
CommercialPaper,347700000.0
PensionandOtherPostRetirementBenefitPlansCurrent,
PayablesAndAccruedExpenses,4704600000.0
CurrentAccruedExpenses,1329500000.0
Payables,3375100000.0
TotalTaxPayable,1060100000.0
AccountsPayable,2315000000.0
TotalAssets,22954400000.0
TotalNonCurrentAssets,17441500000.0
OtherNonCurrentAssets,1210800000.0
NonCurrentDeferredAssets,
GoodwillAndOtherIntangibleAssets,11506500000.0
OtherIntangibleAssets,3880500000.0
Goodwill,7626000000.0
NetPPE,4724200000.0
AccumulatedDepreciation,-3040200000.0
GrossPPE,7764400000.0
ConstructionInProgress,1111000000.0
OtherProperties,1887400000.0
MachineryFurnitureEquipment,3459800000.0
BuildingsAndImprovements,1048700000.0
LandAndImprovements,257500000.0
Properties,0.0
CurrentAssets,5512900000.0
OtherCurrentAssets,438400000.0
Inventory,2329800000.0
FinishedGoods,1810900000.0
WorkInProcess,518900000.0
Receivables,2467900000.0
AccountsReceivable,2467900000.0
AllowanceForDoubtfulAccountsReceivable,-59600000.0
GrossAccountsReceivable,2527500000.0
CashCashEquivalentsAndShortTermInvestments,276800000.0
CashAndCashEquivalents,276800000.0
