,2023-12-31
FreeCashFlow,2633500000.0
RepurchaseOfCapitalStock,-1432000000.0
RepaymentOfDebt,-740300000.0
IssuanceOfDebt,306500000.0
IssuanceOfCapitalStock,0.0
CapitalExpenditure,-888400000.0
InterestPaidSupplementalData,416500000.0
IncomeTaxPaidSupplementalData,816700000.0
EndCashPosition,276800000.0
BeginningCashPosition,198800000.0
EffectOfExchangeRateChanges,20000000.0
ChangesInCash,58000000.0
FinancingCashFlow,-2424600000.0
CashFlowFromContinuingFinancingActivities,-2424600000.0
NetOtherFinancingCharges,-46700000.0
ProceedsFromStockOptionExercised,111600000.0
CashDividendsPaid,-623700000.0
CommonStockDividendPaid,-623700000.0
NetCommonStockIssuance,-1432000000.0
CommonStockPayments,-1432000000.0
CommonStockIssuance,0.0
NetIssuancePaymentsOfDebt,-433800000.0
NetShortTermDebtIssuance,-603900000.0
ShortTermDebtPayments,-603900000.0
ShortTermDebtIssuance,
NetLongTermDebtIssuance,170100000.0
LongTermDebtPayments,-136400000.0
LongTermDebtIssuance,306500000.0
InvestingCashFlow,-1039300000.0
CashFlowFromContinuingInvestingActivities,-1039300000.0
NetOtherInvestingChanges,10100000.0
NetInvestmentPurchaseAndSale,
PurchaseOfInvestment,
NetBusinessPurchaseAndSale,-161000000.0
SaleOfBusiness,103700000.0
PurchaseOfBusiness,-264700000.0
CapitalExpenditureReported,-888400000.0
OperatingCashFlow,3521900000.0
CashFlowFromContinuingOperatingActivities,3521900000.0
ChangeInWorkingCapital,-192900000.0
ChangeInOtherWorkingCapital,75700000.0
ChangeInOtherCurrentLiabilities,-453400000.0
ChangeInPayablesAndAccruedExpense,-250000000.0
ChangeInAccruedExpense,
ChangeInPayable,-250000000.0
ChangeInAccountPayable,-241100000.0
ChangeInTaxPayable,-8900000.0
ChangeInIncomeTaxPayable,-8900000.0
ChangeInInventory,323400000.0
ChangeInReceivables,111400000.0
ChangesInAccountReceivables,85600000.0
OtherNonCashItems,479400000.0
StockBasedCompensation,115900000.0
ProvisionandWriteOffofAssets,96000000.0
AssetImpairmentCharge,57900000.0
AmortizationOfSecurities,65400000.0
DeferredTax,-88900000.0
DeferredIncomeTax,-88900000.0
DepreciationAmortizationDepletion,622500000.0
DepreciationAndAmortization,622500000.0
AmortizationCashFlow,330200000.0
AmortizationOfIntangibles,330200000.0
Depreciation,292300000.0
OperatingGainsLosses,-22200000.0
PensionAndEmployeeBenefitExpense,-15800000.0
GainLossOnInvestmentSecurities,
GainLossOnSaleOfBusiness,-20100000.0
NetIncomeFromContinuingOperations,2388800000.0
