,2023-12-31
TaxEffectOfUnusualItems,-25311200.0
TaxRateForCalcs,0.232
NormalizedEBITDA,4259000000.0
TotalUnusualItems,-109100000.0
TotalUnusualItemsExcludingGoodwill,-109100000.0
NetIncomeFromContinuingOperationNetMinorityInterest,2388800000.0
ReconciledDepreciation,622500000.0
ReconciledCostOfRevenue,12293800000.0
EBITDA,4149900000.0
EBIT,3527400000.0
NetInterestIncome,-407300000.0
InterestExpense,417500000.0
InterestIncome,25200000.0
NormalizedIncome,2472588800.0
NetIncomeFromContinuingAndDiscontinuedOperation,2388800000.0
TotalExpenses,19445500000.0
DilutedAverageShares,258300000.0
BasicAverageShares,255400000.0
DilutedEPS,9.25
BasicEPS,9.35
DilutedNIAvailtoComStockholders,2388800000.0
NetIncomeCommonStockholders,2388800000.0
NetIncome,2388800000.0
NetIncomeIncludingNoncontrollingInterests,2388800000.0
NetIncomeContinuousOperations,2388800000.0
TaxProvision,721100000.0
PretaxIncome,3109900000.0
OtherIncomeExpense,-89200000.0
OtherNonOperatingIncomeExpenses,19900000.0
SpecialIncomeCharges,-51500000.0
GainOnSaleOfPPE,-900000.0
GainOnSaleOfBusiness,20100000.0
OtherSpecialCharges,12800000.0
ImpairmentOfCapitalAssets,57900000.0
GainOnSaleOfSecurity,-57600000.0
NetNonOperatingInterestIncomeExpense,-407300000.0
TotalOtherFinanceCost,15000000.0
InterestExpenseNonOperating,417500000.0
InterestIncomeNonOperating,25200000.0
OperatingIncome,3606400000.0
OperatingExpense,7151700000.0
OtherOperatingExpenses,80700000.0
DepreciationAmortizationDepletionIncomeStatement,
DepreciationAndAmortizationInIncomeStatement,
Amortization,
AmortizationOfIntangiblesIncomeStatement,
SellingGeneralAndAdministration,7071000000.0
GeneralAndAdministrativeExpense,7071000000.0
OtherGandA,7071000000.0
SalariesAndWages,-21100000.0
GrossProfit,10758100000.0
CostOfRevenue,12293800000.0
TotalRevenue,23051900000.0
OperatingRevenue,23051900000.0
