,2024-12-31
TreasurySharesNumber,564300000.0
OrdinarySharesNumber,226600000.0
ShareIssued,790900000.0
NetDebt,7334000000.0
TotalDebt,8033000000.0
TangibleBookValue,23271000000.0
InvestedCapital,35897000000.0
NetTangibleAssets,23271000000.0
CommonStockEquity,27864000000.0
TotalCapitalization,35797000000.0
TotalEquityGrossMinorityInterest,27864000000.0
StockholdersEquity,27864000000.0
GainsLossesNotAffectingRetainedEarnings,-4967000000.0
OtherEquityAdjustments,-4967000000.0
TreasuryStock,42251000000.0
RetainedEarnings,49630000000.0
CapitalStock,25452000000.0
CommonStock,25452000000.0
TotalLiabilitiesNetMinorityInterest,105325000000.0
NonCurrentDeferredLiabilities,
NonCurrentDeferredTaxesLiabilities,
LongTermDebtAndCapitalLeaseObligation,7933000000.0
LongTermDebt,7933000000.0
CurrentDebtAndCapitalLeaseObligation,100000000.0
CurrentDebt,100000000.0
OtherCurrentBorrowings,
CommercialPaper,100000000.0
PayablesAndAccruedExpenses,3739000000.0
Payables,3739000000.0
AccountsPayable,3739000000.0
TotalAssets,133189000000.0
InvestmentsAndAdvances,89119000000.0
GoodwillAndOtherIntangibleAssets,4593000000.0
OtherIntangibleAssets,360000000.0
Goodwill,4233000000.0
PrepaidAssets,1202000000.0
Receivables,22281000000.0
AccountsReceivable,22281000000.0
CashCashEquivalentsAndShortTermInvestments,89131000000.0
OtherShortTermInvestments,88432000000.0
CashAndCashEquivalents,699000000.0
