,2023-12-31
FreeCashFlow,7711000000.0
RepurchaseOfCapitalStock,-1022000000.0
RepaymentOfDebt,
IssuanceOfDebt,738000000.0
InterestPaidSupplementalData,370000000.0
IncomeTaxPaidSupplementalData,201000000.0
EndCashPosition,650000000.0
BeginningCashPosition,799000000.0
EffectOfExchangeRateChanges,12000000.0
ChangesInCash,-161000000.0
FinancingCashFlow,-1051000000.0
CashFlowFromContinuingFinancingActivities,-1051000000.0
ProceedsFromStockOptionExercised,141000000.0
CashDividendsPaid,-908000000.0
CommonStockDividendPaid,-908000000.0
NetCommonStockIssuance,-1022000000.0
CommonStockPayments,-1022000000.0
NetIssuancePaymentsOfDebt,738000000.0
NetLongTermDebtIssuance,738000000.0
LongTermDebtPayments,
LongTermDebtIssuance,738000000.0
InvestingCashFlow,-6821000000.0
CashFlowFromContinuingInvestingActivities,-6821000000.0
NetOtherInvestingChanges,-462000000.0
NetInvestmentPurchaseAndSale,-6292000000.0
SaleOfInvestment,11745000000.0
PurchaseOfInvestment,-18037000000.0
NetInvestmentPropertiesPurchaseAndSale,-67000000.0
SaleOfInvestmentProperties,0.0
PurchaseOfInvestmentProperties,-67000000.0
NetBusinessPurchaseAndSale,0.0
PurchaseOfBusiness,0.0
OperatingCashFlow,7711000000.0
CashFlowFromContinuingOperatingActivities,7711000000.0
ChangeInWorkingCapital,-2660000000.0
ChangeInOtherWorkingCapital,
ChangeInReceivables,-1404000000.0
ChangesInAccountReceivables,-1404000000.0
OtherNonCashItems,647000000.0
AssetImpairmentCharge,9000000.0
AmortizationOfSecurities,6226000000.0
DeferredTax,-163000000.0
DeferredIncomeTax,-163000000.0
DepreciationAndAmortization,722000000.0
OperatingGainsLosses,-61000000.0
EarningsLossesFromEquityInvestments,-157000000.0
GainLossOnInvestmentSecurities,96000000.0
NetIncomeFromContinuingOperations,2991000000.0
