,2024-12-31
TaxEffectOfUnusualItems,-950000.0
TaxRateForCalcs,0.19
TotalUnusualItems,-5000000.0
TotalUnusualItemsExcludingGoodwill,-5000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,4999000000.0
ReconciledDepreciation,715000000.0
EBIT,6572000000.0
NetInterestIncome,-392000000.0
InterestExpense,392000000.0
NormalizedIncome,5003050000.0
NetIncomeFromContinuingAndDiscontinuedOperation,4999000000.0
TotalExpenses,40248000000.0
DilutedAverageShares,231100000.0
BasicAverageShares,228000000.0
DilutedEPS,21.47
BasicEPS,21.76
DilutedNIAvailtoComStockholders,4961000000.0
NetIncomeCommonStockholders,4961000000.0
OtherunderPreferredStockDividend,38000000.0
NetIncome,4999000000.0
NetIncomeIncludingNoncontrollingInterests,4999000000.0
NetIncomeContinuousOperations,4999000000.0
TaxProvision,1181000000.0
PretaxIncome,6180000000.0
OtherIncomeExpense,449000000.0
SpecialIncomeCharges,-5000000.0
ImpairmentOfCapitalAssets,5000000.0
NetNonOperatingInterestIncomeExpense,-392000000.0
InterestExpenseNonOperating,392000000.0
SellingGeneralAndAdministration,5819000000.0
GeneralAndAdministrativeExpense,5819000000.0
OtherGandA,5819000000.0
TotalRevenue,46428000000.0
OperatingRevenue,46428000000.0
LossAdjustmentExpense,27059000000.0
NetPolicyholderBenefitsAndClaims,27059000000.0
PolicyholderBenefitsGross,
PolicyholderBenefitsCeded,
