,2023-12-31
OrdinarySharesNumber,924000000.0
ShareIssued,924000000.0
NetDebt,37110000000.0
TotalDebt,62537000000.0
TangibleBookValue,-30170000000.0
InvestedCapital,151293000000.0
WorkingCapital,-20617000000.0
NetTangibleAssets,-30170000000.0
CommonStockEquity,88756000000.0
TotalCapitalization,147019000000.0
TotalEquityGrossMinorityInterest,98919000000.0
MinorityInterest,10163000000.0
StockholdersEquity,88756000000.0
GainsLossesNotAffectingRetainedEarnings,-7027000000.0
OtherEquityAdjustments,-7027000000.0
RetainedEarnings,95774000000.0
AdditionalPaidInCapital,
CapitalStock,9000000.0
CommonStock,9000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,174801000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,75747000000.0
OtherNonCurrentLiabilities,14463000000.0
PreferredSecuritiesOutsideStockEquity,
NonCurrentDeferredLiabilities,3021000000.0
NonCurrentDeferredTaxesLiabilities,3021000000.0
LongTermDebtAndCapitalLeaseObligation,58263000000.0
LongTermDebt,58263000000.0
CurrentLiabilities,99054000000.0
OtherCurrentLiabilities,27072000000.0
CurrentDeferredLiabilities,3355000000.0
CurrentDeferredRevenue,3355000000.0
CurrentDebtAndCapitalLeaseObligation,4274000000.0
CurrentDebt,4274000000.0
PayablesAndAccruedExpenses,64353000000.0
Payables,64353000000.0
AccountsPayable,64353000000.0
TotalAssets,273720000000.0
TotalNonCurrentAssets,195283000000.0
OtherNonCurrentAssets,17298000000.0
InvestmentsAndAdvances,47609000000.0
GoodwillAndOtherIntangibleAssets,118926000000.0
OtherIntangibleAssets,15194000000.0
Goodwill,103732000000.0
NetPPE,11450000000.0
AccumulatedDepreciation,-7039000000.0
GrossPPE,18489000000.0
MachineryFurnitureEquipment,12204000000.0
BuildingsAndImprovements,5573000000.0
LandAndImprovements,712000000.0
Properties,0.0
CurrentAssets,78437000000.0
OtherCurrentAssets,9839000000.0
PrepaidAssets,
Receivables,38970000000.0
OtherReceivables,17694000000.0
AccountsReceivable,21276000000.0
AllowanceForDoubtfulAccountsReceivable,-1000000000.0
GrossAccountsReceivable,22276000000.0
CashCashEquivalentsAndShortTermInvestments,29628000000.0
OtherShortTermInvestments,4201000000.0
CashAndCashEquivalents,25427000000.0
