,2023-12-31
FreeCashFlow,25682000000.0
RepurchaseOfCapitalStock,-8000000000.0
RepaymentOfDebt,-2125000000.0
IssuanceOfDebt,6394000000.0
IssuanceOfCapitalStock,1353000000.0
CapitalExpenditure,-3386000000.0
InterestPaidSupplementalData,3035000000.0
IncomeTaxPaidSupplementalData,6078000000.0
EndCashPosition,25427000000.0
BeginningCashPosition,23365000000.0
EffectOfExchangeRateChanges,97000000.0
ChangesInCash,1965000000.0
FinancingCashFlow,-11529000000.0
CashFlowFromContinuingFinancingActivities,-11529000000.0
NetOtherFinancingCharges,-2401000000.0
CashDividendsPaid,-6761000000.0
CommonStockDividendPaid,-6761000000.0
NetCommonStockIssuance,-6647000000.0
CommonStockPayments,-8000000000.0
CommonStockIssuance,1353000000.0
NetIssuancePaymentsOfDebt,4280000000.0
NetShortTermDebtIssuance,11000000.0
NetLongTermDebtIssuance,4269000000.0
LongTermDebtPayments,-2125000000.0
LongTermDebtIssuance,6394000000.0
InvestingCashFlow,-15574000000.0
CashFlowFromContinuingInvestingActivities,-15574000000.0
NetOtherInvestingChanges,-275000000.0
NetInvestmentPurchaseAndSale,-1777000000.0
SaleOfInvestment,16537000000.0
PurchaseOfInvestment,-18314000000.0
NetBusinessPurchaseAndSale,-10136000000.0
PurchaseOfBusiness,-10136000000.0
NetPPEPurchaseAndSale,-3386000000.0
PurchaseOfPPE,-3386000000.0
OperatingCashFlow,29068000000.0
CashFlowFromContinuingOperatingActivities,29068000000.0
ChangeInWorkingCapital,1643000000.0
ChangeInOtherWorkingCapital,203000000.0
ChangeInOtherCurrentLiabilities,
ChangeInOtherCurrentAssets,-2444000000.0
ChangeInPayablesAndAccruedExpense,6998000000.0
ChangeInPayable,6998000000.0
ChangeInAccountPayable,3516000000.0
ChangeInReceivables,-3114000000.0
ChangesInAccountReceivables,-3114000000.0
OtherNonCashItems,-505000000.0
StockBasedCompensation,1059000000.0
DeferredTax,-245000000.0
DeferredIncomeTax,-245000000.0
DepreciationAmortizationDepletion,3972000000.0
DepreciationAndAmortization,3972000000.0
NetIncomeFromContinuingOperations,23144000000.0
