,2023-12-31
TreasurySharesNumber,87172997.0
OrdinarySharesNumber,4204260649.0
ShareIssued,4291433646.0
NetDebt,148609000000.0
TotalDebt,174942000000.0
TangibleBookValue,-97137000000.0
InvestedCapital,243104000000.0
WorkingCapital,-16409000000.0
NetTangibleAssets,-97137000000.0
CapitalLeaseObligations,24268000000.0
CommonStockEquity,92430000000.0
TotalCapitalization,230131000000.0
TotalEquityGrossMinorityInterest,93799000000.0
MinorityInterest,1369000000.0
StockholdersEquity,92430000000.0
OtherEquityInterest,656000000.0
GainsLossesNotAffectingRetainedEarnings,-1380000000.0
OtherEquityAdjustments,-1380000000.0
TreasuryStock,3821000000.0
RetainedEarnings,82915000000.0
AdditionalPaidInCapital,13631000000.0
CapitalStock,429000000.0
CommonStock,429000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,286456000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,233233000000.0
OtherNonCurrentLiabilities,16560000000.0
EmployeeBenefits,13189000000.0
NonCurrentDeferredLiabilities,45781000000.0
NonCurrentDeferredTaxesLiabilities,45781000000.0
LongTermDebtAndCapitalLeaseObligation,157703000000.0
LongTermCapitalLeaseObligation,20002000000.0
LongTermDebt,137701000000.0
CurrentLiabilities,53223000000.0
OtherCurrentLiabilities,2755000000.0
CurrentDeferredLiabilities,6955000000.0
CurrentDeferredRevenue,6955000000.0
CurrentDebtAndCapitalLeaseObligation,17239000000.0
CurrentCapitalLeaseObligation,4266000000.0
CurrentDebt,12973000000.0
OtherCurrentBorrowings,12973000000.0
CommercialPaper,0.0
PayablesAndAccruedExpenses,26274000000.0
CurrentAccruedExpenses,10820000000.0
InterestPayable,1570000000.0
Payables,15454000000.0
DividendsPayable,2821000000.0
TotalTaxPayable,2612000000.0
AccountsPayable,10021000000.0
TotalAssets,380255000000.0
TotalNonCurrentAssets,343441000000.0
OtherNonCurrentAssets,19885000000.0
InvestmentsAndAdvances,953000000.0
LongTermEquityInvestment,953000000.0
InvestmentsinSubsidiariesatCost,
GoodwillAndOtherIntangibleAssets,189567000000.0
OtherIntangibleAssets,166724000000.0
Goodwill,22843000000.0
NetPPE,133036000000.0
AccumulatedDepreciation,-211798000000.0
GrossPPE,344834000000.0
Leases,10355000000.0
ConstructionInProgress,12092000000.0
OtherProperties,103081000000.0
MachineryFurnitureEquipment,181615000000.0
BuildingsAndImprovements,36940000000.0
LandAndImprovements,751000000.0
Properties,0.0
CurrentAssets,36814000000.0
OtherCurrentAssets,1651000000.0
CurrentDeferredAssets,2756000000.0
RestrictedCash,1244000000.0
PrepaidAssets,1956000000.0
Inventory,2057000000.0
Receivables,25085000000.0
AccountsReceivable,25085000000.0
AllowanceForDoubtfulAccountsReceivable,-1017000000.0
GrossAccountsReceivable,26102000000.0
CashCashEquivalentsAndShortTermInvestments,2065000000.0
CashAndCashEquivalents,2065000000.0
