,2023-12-31
FreeCashFlow,12912000000.0
RepaymentOfDebt,-10774000000.0
IssuanceOfDebt,8612000000.0
CapitalExpenditure,-24563000000.0
EndCashPosition,3497000000.0
BeginningCashPosition,4111000000.0
ChangesInCash,-614000000.0
FinancingCashFlow,-14657000000.0
CashFlowFromContinuingFinancingActivities,-14657000000.0
NetOtherFinancingCharges,-1470000000.0
CashDividendsPaid,-11025000000.0
CommonStockDividendPaid,-11025000000.0
NetIssuancePaymentsOfDebt,-2162000000.0
NetShortTermDebtIssuance,-150000000.0
ShortTermDebtPayments,-150000000.0
ShortTermDebtIssuance,
NetLongTermDebtIssuance,-2012000000.0
LongTermDebtPayments,-10624000000.0
LongTermDebtIssuance,8612000000.0
InvestingCashFlow,-23432000000.0
CashFlowFromContinuingInvestingActivities,-23432000000.0
NetOtherInvestingChanges,281000000.0
NetInvestmentPurchaseAndSale,880000000.0
PurchaseOfInvestment,
NetBusinessPurchaseAndSale,-30000000.0
SaleOfBusiness,0.0
PurchaseOfBusiness,-30000000.0
NetIntangiblesPurchaseAndSale,-5796000000.0
PurchaseOfIntangibles,-5796000000.0
CapitalExpenditureReported,-18767000000.0
OperatingCashFlow,37475000000.0
CashFlowFromContinuingOperatingActivities,37475000000.0
ChangeInWorkingCapital,-267000000.0
ChangeInPayablesAndAccruedExpense,2079000000.0
ChangeInPayable,2079000000.0
ChangeInAccountPayable,2079000000.0
ChangeInPrepaidAssets,-435000000.0
ChangeInInventory,287000000.0
ChangeInReceivables,-2198000000.0
ChangesInAccountReceivables,-2198000000.0
OtherNonCashItems,-3710000000.0
ProvisionandWriteOffofAssets,2214000000.0
AssetImpairmentCharge,5841000000.0
DeferredTax,2388000000.0
DeferredIncomeTax,2388000000.0
DepreciationAmortizationDepletion,17624000000.0
DepreciationAndAmortization,17624000000.0
AmortizationCashFlow,2687000000.0
AmortizationOfIntangibles,2687000000.0
Depreciation,14937000000.0
OperatingGainsLosses,1290000000.0
PensionAndEmployeeBenefitExpense,1206000000.0
EarningsLossesFromEquityInvestments,84000000.0
NetIncomeFromContinuingOperations,12095000000.0
