,2024-12-31
FreeCashFlow,18922000000.0
RepaymentOfDebt,-20344000000.0
IssuanceOfDebt,15568000000.0
CapitalExpenditure,-17990000000.0
EndCashPosition,4635000000.0
BeginningCashPosition,3497000000.0
ChangesInCash,1138000000.0
FinancingCashFlow,-17100000000.0
CashFlowFromContinuingFinancingActivities,-17100000000.0
NetOtherFinancingCharges,-1075000000.0
CashDividendsPaid,-11249000000.0
CommonStockDividendPaid,-11249000000.0
NetIssuancePaymentsOfDebt,-4776000000.0
NetShortTermDebtIssuance,0.0
ShortTermDebtPayments,
ShortTermDebtIssuance,0.0
NetLongTermDebtIssuance,-4776000000.0
LongTermDebtPayments,-20344000000.0
LongTermDebtIssuance,15568000000.0
InvestingCashFlow,-18674000000.0
CashFlowFromContinuingInvestingActivities,-18674000000.0
NetOtherInvestingChanges,28000000.0
NetInvestmentPurchaseAndSale,-712000000.0
PurchaseOfInvestment,
NetBusinessPurchaseAndSale,0.0
SaleOfBusiness,0.0
PurchaseOfBusiness,0.0
NetIntangiblesPurchaseAndSale,-900000000.0
PurchaseOfIntangibles,-900000000.0
CapitalExpenditureReported,-17090000000.0
OperatingCashFlow,36912000000.0
CashFlowFromContinuingOperatingActivities,36912000000.0
ChangeInWorkingCapital,-2278000000.0
ChangeInPayablesAndAccruedExpense,1109000000.0
ChangeInPayable,1109000000.0
ChangeInAccountPayable,1109000000.0
ChangeInPrepaidAssets,-626000000.0
ChangeInInventory,-196000000.0
ChangeInReceivables,-2565000000.0
ChangesInAccountReceivables,-2565000000.0
OtherNonCashItems,173000000.0
ProvisionandWriteOffofAssets,2338000000.0
AssetImpairmentCharge,0.0
DeferredTax,815000000.0
DeferredIncomeTax,815000000.0
DepreciationAmortizationDepletion,17892000000.0
DepreciationAndAmortization,17892000000.0
AmortizationCashFlow,
AmortizationOfIntangibles,
Depreciation,
OperatingGainsLosses,23000000.0
PensionAndEmployeeBenefitExpense,-52000000.0
EarningsLossesFromEquityInvestments,75000000.0
NetIncomeFromContinuingOperations,17949000000.0
