,2023-12-31
TaxEffectOfUnusualItems,-1593504000.0
TaxRateForCalcs,0.288
NormalizedEBITDA,45668000000.0
TotalUnusualItems,-5533000000.0
TotalUnusualItemsExcludingGoodwill,-5533000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,11614000000.0
ReconciledDepreciation,17624000000.0
ReconciledCostOfRevenue,54887000000.0
EBITDA,40135000000.0
EBIT,22511000000.0
NetInterestIncome,-5170000000.0
InterestExpense,5524000000.0
InterestIncome,354000000.0
NormalizedIncome,15553496000.0
NetIncomeFromContinuingAndDiscontinuedOperation,11614000000.0
TotalExpenses,105256000000.0
TotalOperatingIncomeAsReported,22877000000.0
DilutedAverageShares,4215000000.0
BasicAverageShares,4211000000.0
DilutedEPS,2.75
BasicEPS,2.76
DilutedNIAvailtoComStockholders,11614000000.0
NetIncomeCommonStockholders,11614000000.0
NetIncome,11614000000.0
MinorityInterests,-481000000.0
NetIncomeIncludingNoncontrollingInterests,12095000000.0
NetIncomeContinuousOperations,12095000000.0
TaxProvision,4892000000.0
PretaxIncome,16987000000.0
OtherIncomeExpense,-6561000000.0
OtherNonOperatingIncomeExpenses,-975000000.0
SpecialIncomeCharges,-5533000000.0
OtherSpecialCharges,-308000000.0
ImpairmentOfCapitalAssets,5841000000.0
EarningsFromEquityInterest,-53000000.0
NetNonOperatingInterestIncomeExpense,-5170000000.0
InterestExpenseNonOperating,5524000000.0
InterestIncomeNonOperating,354000000.0
OperatingIncome,28718000000.0
OperatingExpense,50369000000.0
DepreciationAmortizationDepletionIncomeStatement,17624000000.0
DepreciationAndAmortizationInIncomeStatement,17624000000.0
SellingGeneralAndAdministration,32745000000.0
GrossProfit,79087000000.0
CostOfRevenue,54887000000.0
TotalRevenue,133974000000.0
OperatingRevenue,133974000000.0
