,2024-09-30
FreeCashFlow,18693000000.0
RepurchaseOfCapitalStock,-16713000000.0
RepaymentOfDebt,0.0
IssuanceOfDebt,0.0
CapitalExpenditure,-1257000000.0
InterestPaidSupplementalData,583000000.0
IncomeTaxPaidSupplementalData,5775000000.0
EndCashPosition,19763000000.0
BeginningCashPosition,21990000000.0
EffectOfExchangeRateChanges,382000000.0
ChangesInCash,-2609000000.0
FinancingCashFlow,-20633000000.0
CashFlowFromContinuingFinancingActivities,-20633000000.0
NetOtherFinancingCharges,-38000000.0
ProceedsFromStockOptionExercised,335000000.0
CashDividendsPaid,-4217000000.0
CommonStockDividendPaid,
NetCommonStockIssuance,-16713000000.0
CommonStockPayments,-16713000000.0
NetIssuancePaymentsOfDebt,0.0
NetLongTermDebtIssuance,0.0
LongTermDebtPayments,0.0
LongTermDebtIssuance,0.0
InvestingCashFlow,-1926000000.0
CashFlowFromContinuingInvestingActivities,-1926000000.0
NetOtherInvestingChanges,-93000000.0
NetInvestmentPurchaseAndSale,339000000.0
SaleOfInvestment,5013000000.0
PurchaseOfInvestment,-4674000000.0
NetBusinessPurchaseAndSale,-915000000.0
PurchaseOfBusiness,-915000000.0
NetPPEPurchaseAndSale,-1257000000.0
PurchaseOfPPE,-1257000000.0
OperatingCashFlow,19950000000.0
CashFlowFromContinuingOperatingActivities,19950000000.0
ChangeInWorkingCapital,-15432000000.0
ChangeInOtherWorkingCapital,-14067000000.0
ChangeInOtherCurrentAssets,-199000000.0
ChangeInPayablesAndAccruedExpense,1246000000.0
ChangeInAccruedExpense,-704000000.0
ChangeInPayable,1950000000.0
ChangeInAccountPayable,109000000.0
ChangeInReceivables,-2412000000.0
ChangesInAccountReceivables,-237000000.0
OtherNonCashItems,13761000000.0
StockBasedCompensation,850000000.0
DeferredTax,-100000000.0
DeferredIncomeTax,-100000000.0
DepreciationAmortizationDepletion,1034000000.0
DepreciationAndAmortization,1034000000.0
AmortizationCashFlow,79000000.0
AmortizationOfIntangibles,79000000.0
Depreciation,955000000.0
OperatingGainsLosses,94000000.0
EarningsLossesFromEquityInvestments,94000000.0
NetIncomeFromContinuingOperations,19743000000.0
