,2023-01-31
OrdinarySharesNumber,8100000000.0
ShareIssued,8100000000.0
NetDebt,30587000000.0
TotalDebt,58923000000.0
TangibleBookValue,48519000000.0
InvestedCapital,115905000000.0
WorkingCapital,-16543000000.0
NetTangibleAssets,48519000000.0
CapitalLeaseObligations,19711000000.0
CommonStockEquity,76693000000.0
TotalCapitalization,111342000000.0
TotalEquityGrossMinorityInterest,83991000000.0
MinorityInterest,7298000000.0
StockholdersEquity,76693000000.0
GainsLossesNotAffectingRetainedEarnings,-11680000000.0
OtherEquityAdjustments,-857000000.0
ForeignCurrencyTranslationAdjustments,-10816000000.0
MinimumPensionLiabilities,-7000000.0
UnrealizedGainLoss,
RetainedEarnings,83135000000.0
AdditionalPaidInCapital,4430000000.0
CapitalStock,808000000.0
CommonStock,808000000.0
TotalLiabilitiesNetMinorityInterest,159206000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,67008000000.0
OtherNonCurrentLiabilities,14688000000.0
NonCurrentDeferredLiabilities,14688000000.0
NonCurrentDeferredTaxesLiabilities,14688000000.0
LongTermDebtAndCapitalLeaseObligation,52320000000.0
LongTermCapitalLeaseObligation,17671000000.0
LongTermDebt,34649000000.0
CurrentLiabilities,92198000000.0
OtherCurrentLiabilities,
CurrentDeferredLiabilities,2488000000.0
CurrentDeferredRevenue,2488000000.0
CurrentDebtAndCapitalLeaseObligation,6603000000.0
CurrentCapitalLeaseObligation,2040000000.0
CurrentDebt,4563000000.0
OtherCurrentBorrowings,4563000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,
PayablesAndAccruedExpenses,83107000000.0
CurrentAccruedExpenses,25213000000.0
Payables,57894000000.0
TotalTaxPayable,4152000000.0
IncomeTaxPayable,727000000.0
AccountsPayable,53742000000.0
TotalAssets,243197000000.0
TotalNonCurrentAssets,167542000000.0
OtherNonCurrentAssets,20134000000.0
GoodwillAndOtherIntangibleAssets,28174000000.0
Goodwill,28174000000.0
NetPPE,119234000000.0
AccumulatedDepreciation,-101610000000.0
GrossPPE,220844000000.0
ConstructionInProgress,10802000000.0
OtherProperties,18474000000.0
MachineryFurnitureEquipment,67697000000.0
BuildingsAndImprovements,104554000000.0
LandAndImprovements,19317000000.0
Properties,0.0
CurrentAssets,75655000000.0
OtherCurrentAssets,2521000000.0
PrepaidAssets,
Inventory,56576000000.0
Receivables,7933000000.0
AccountsReceivable,7933000000.0
CashCashEquivalentsAndShortTermInvestments,8625000000.0
CashAndCashEquivalents,8625000000.0
