,2024-01-31
FreeCashFlow,15120000000.0
RepurchaseOfCapitalStock,-2779000000.0
RepaymentOfDebt,-4217000000.0
IssuanceOfDebt,4967000000.0
CapitalExpenditure,-20606000000.0
InterestPaidSupplementalData,2519000000.0
IncomeTaxPaidSupplementalData,5879000000.0
EndCashPosition,9935000000.0
OtherCashAdjustmentOutsideChangeinCash,0.0
BeginningCashPosition,8841000000.0
EffectOfExchangeRateChanges,69000000.0
ChangesInCash,1025000000.0
FinancingCashFlow,-13414000000.0
CashFlowFromContinuingFinancingActivities,-13414000000.0
NetOtherFinancingCharges,-5757000000.0
CashDividendsPaid,-6140000000.0
CommonStockDividendPaid,-6140000000.0
NetCommonStockIssuance,-2779000000.0
CommonStockPayments,-2779000000.0
NetIssuancePaymentsOfDebt,1262000000.0
NetShortTermDebtIssuance,512000000.0
ShortTermDebtPayments,
NetLongTermDebtIssuance,750000000.0
LongTermDebtPayments,-4217000000.0
LongTermDebtIssuance,4967000000.0
InvestingCashFlow,-21287000000.0
CashFlowFromContinuingInvestingActivities,-21287000000.0
NetOtherInvestingChanges,-1057000000.0
NetBusinessPurchaseAndSale,126000000.0
SaleOfBusiness,135000000.0
PurchaseOfBusiness,-9000000.0
NetPPEPurchaseAndSale,-20356000000.0
SaleOfPPE,250000000.0
PurchaseOfPPE,-20606000000.0
OperatingCashFlow,35726000000.0
CashFlowFromContinuingOperatingActivities,35726000000.0
ChangeInWorkingCapital,1943000000.0
ChangeInPayablesAndAccruedExpense,723000000.0
ChangeInAccruedExpense,-1324000000.0
ChangeInPayable,2047000000.0
ChangeInAccountPayable,2515000000.0
ChangeInTaxPayable,-468000000.0
ChangeInIncomeTaxPayable,-468000000.0
ChangeInInventory,2017000000.0
ChangeInReceivables,-797000000.0
OtherNonCashItems,2642000000.0
UnrealizedGainLossOnInvestmentSecurities,
DeferredTax,-175000000.0
DeferredIncomeTax,-175000000.0
DepreciationAmortizationDepletion,11853000000.0
DepreciationAndAmortization,11853000000.0
OperatingGainsLosses,3193000000.0
PensionAndEmployeeBenefitExpense,
GainLossOnInvestmentSecurities,3193000000.0
GainLossOnSaleOfPPE,
GainLossOnSaleOfBusiness,0.0
NetIncomeFromContinuingOperations,16270000000.0
