종목명,연도,총자산 증가율,유형자산 증가율,매출액 증가율,매출액 영업이익률,매출액 순이익률,총자산 영업이익률,총자산 순이익률,영업이익 이자보상비율,EBITDA대 매출액,유동비율,당좌비율,매출채권/매입채무비율,부채비율,유동부채비율,차입금의존도,총자산회전율,재고자산회전율,매출채권회전율
AAPL,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.31510222870075566,0.23971255769943867,0.33759658063455533,0.25682503150857583,,0.3443707085043538,1.6104240416900895,0.7306856682720795,0.48448375870069604,5.408779631255487,0.4273544784598903,0.29215025480848267,1.0713874732862074,28.870710952511665,11.704130499850343
DIS,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.00031496771580912956,0.03813359130689104,0.0001362006819762719,0.016490011139270063,0.01419158641662443,0.17925037683637426,2.8133098912548022,0.4315947125089536,0.67299173553719,0.9324113339444181,0.6636058206488273,0.24270475097164593,0.4324274366545221,30.15843097300051,8.733470871401906
MRK,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.00573900024952175,0.006271313316144057,0.0032341223341926413,0.0035340988985235527,0.3010471204188482,0.12535972718955335,1.718889862963134,0.39657638536427814,2.6387047424783274,1.8370985338335861,0.6278389339513326,0.32861495195687834,0.5635340988985236,2.536332179930796,5.8087737945695235
PG,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.22067135496614668,0.1781791787146444,0.15154858216883224,0.12236659311922857,20.048648648648648,0.28466545294446627,2.5575487756972635,0.4085373837894461,0.39820359281437123,1.4280714314123215,0.5317356430680109,0.2726893846531013,0.6867614611424369,5.82212086659065,13.736351748937562
UNH,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.08804107386275518,0.06297121619011083,0.11821569487067075,0.08455355838082712,9.968576709796674,0.08772273510133784,2.5780955021320975,0.8501590822078762,0.3306139573912638,1.9694555861012213,0.43333276125422626,0.22847069998538652,1.3427334502411223,,17.274534686971236
SHW,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.0008632694051249572,0.10362703291268832,0.0008669361865263304,0.10406719408915066,0.047664670658682635,0.18475700484558757,1.3829618528826406,0.21763124717524204,1.0660475161987042,5.177512245007804,0.6555414635160562,0.5144852403025129,1.0042475516676541,5.276761953815778,9.340694517606062
PG,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.2211301612077165,0.17971855717874302,0.15007986493308725,0.12197402941346862,23.986772486772487,0.26611467453600957,2.583166701747001,0.3608977057461587,0.37477736676257023,1.5769288325459092,0.5152648988666558,0.2931746517806156,0.6786946842231584,6.0455252368160615,14.989215865472492
DIS,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),,0.06318888803756527,,0.02942120793603066,,0.20018388590317532,3.047844842953403,0.3338978216692217,0.698905109489051,0.9007011202033844,0.618521009515199,0.24841121400068292,0.46560730612224094,29.02967359050445,8.834832221255198
AAPL,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.2982141226502472,0.2530623426432028,0.32418182385424144,0.27509834563776475,29.062039155860667,0.3282674772036474,1.4402152567715618,0.6266838467845848,0.47129098720672086,4.673462491552152,0.4996918436700558,0.3150690759338936,1.087077369016657,33.82356657716001,12.989189372373593
KO,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.24721335839489444,0.23392490274074398,0.11576921895949971,0.10954627800579307,7.407334643091028,0.3656948026402063,1.5212852610820544,0.27385749807082227,0.6100178890876565,2.707027485447747,0.6643407430613901,0.43052925703407263,0.4682967769669304,3.934674502712477,13.417595307917889
HON,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.010727830017143747,0.14909865447555717,0.005492313420926645,0.07633384754508218,0.390359168241966,0.25710426515663154,1.3596710658730844,0.5286523476810719,0.024854651162790696,3.0095601267522425,0.6206656553939502,0.42854673120910686,0.5119687217405181,3.7000931387767775,225.1345029239766
