Unnamed: 0,2024-12-31
TreasurySharesNumber,
OrdinarySharesNumber,537000000.0
ShareIssued,537000000.0
NetDebt,48126000000.0
TotalDebt,60099000000.0
TangibleBookValue,-40459000000.0
InvestedCapital,65976000000.0
WorkingCapital,5931000000.0
NetTangibleAssets,-40459000000.0
CommonStockEquity,5877000000.0
TotalCapitalization,62426000000.0
TotalEquityGrossMinorityInterest,5877000000.0
StockholdersEquity,5877000000.0
GainsLossesNotAffectingRetainedEarnings,-66000000.0
OtherEquityAdjustments,308000000.0
ForeignCurrencyTranslationAdjustments,-374000000.0
UnrealizedGainLoss,
RetainedEarnings,-27590000000.0
CapitalStock,33533000000.0
CommonStock,33533000000.0
TotalLiabilitiesNetMinorityInterest,85962000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,62863000000.0
OtherNonCurrentLiabilities,2349000000.0
TradeandOtherPayablesNonCurrent,2349000000.0
NonCurrentDeferredLiabilities,1616000000.0
NonCurrentDeferredTaxesLiabilities,1616000000.0
LongTermDebtAndCapitalLeaseObligation,56549000000.0
LongTermDebt,56549000000.0
CurrentLiabilities,23099000000.0
CurrentDebtAndCapitalLeaseObligation,3550000000.0
CurrentDebt,3550000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,1329000000.0
CurrentProvisions,
PayablesAndAccruedExpenses,18220000000.0
CurrentAccruedExpenses,12451000000.0
InterestPayable,867000000.0
Payables,5769000000.0
DividendsPayable,1278000000.0
TotalTaxPayable,2583000000.0
IncomeTaxPayable,2583000000.0
AccountsPayable,1908000000.0
TotalAssets,91839000000.0
TotalNonCurrentAssets,62809000000.0
OtherNonCurrentAssets,9930000000.0
GoodwillAndOtherIntangibleAssets,46336000000.0
OtherIntangibleAssets,27699000000.0
Goodwill,18637000000.0
NetPPE,6543000000.0
AccumulatedDepreciation,-10388000000.0
GrossPPE,16931000000.0
ConstructionInProgress,2053000000.0
OtherProperties,4996000000.0
MachineryFurnitureEquipment,4733000000.0
BuildingsAndImprovements,4803000000.0
LandAndImprovements,346000000.0
Properties,0.0
CurrentAssets,29030000000.0
OtherCurrentAssets,419000000.0
PrepaidAssets,2139000000.0
Inventory,6998000000.0
FinishedGoods,2060000000.0
WorkInProcess,4120000000.0
RawMaterials,818000000.0
Receivables,7501000000.0
DuefromRelatedPartiesCurrent,521000000.0
TaxesReceivable,198000000.0
AccountsReceivable,6782000000.0
CashCashEquivalentsAndShortTermInvestments,11973000000.0
OtherShortTermInvestments,
CashAndCashEquivalents,11973000000.0
FreeCashFlow,10394000000.0
RepurchaseOfCapitalStock,-200000000.0
RepaymentOfDebt,-3600000000.0
IssuanceOfDebt,0.0
CapitalExpenditure,-1096000000.0
EndCashPosition,11973000000.0
BeginningCashPosition,10944000000.0
ChangesInCash,1029000000.0
FinancingCashFlow,-9415000000.0
CashFlowFromContinuingFinancingActivities,-9415000000.0
NetOtherFinancingCharges,-783000000.0
CashDividendsPaid,-4832000000.0
CommonStockDividendPaid,-4832000000.0
NetCommonStockIssuance,-200000000.0
CommonStockPayments,-200000000.0
NetIssuancePaymentsOfDebt,-3600000000.0
NetLongTermDebtIssuance,-3600000000.0
LongTermDebtPayments,-3600000000.0
LongTermDebtIssuance,0.0
InvestingCashFlow,-1046000000.0
CashFlowFromContinuingInvestingActivities,-1046000000.0
NetOtherInvestingChanges,50000000.0
NetInvestmentPurchaseAndSale,0.0
SaleOfInvestment,0.0
PurchaseOfInvestment,0.0
NetBusinessPurchaseAndSale,0.0
SaleOfBusiness,
PurchaseOfBusiness,0.0
NetPPEPurchaseAndSale,-1096000000.0
PurchaseOfPPE,-1096000000.0
OperatingCashFlow,11490000000.0
CashFlowFromContinuingOperatingActivities,11490000000.0
ChangeInWorkingCapital,2365000000.0
ChangeInOtherWorkingCapital,
ChangeInOtherCurrentLiabilities,-51000000.0
ChangeInOtherCurrentAssets,-652000000.0
ChangeInPayablesAndAccruedExpense,95000000.0
ChangeInAccruedExpense,1286000000.0
ChangeInPayable,-1191000000.0
ChangeInAccountPayable,312000000.0
ChangeInTaxPayable,-1503000000.0
ChangeInIncomeTaxPayable,-1503000000.0
ChangeInInventory,2532000000.0
ChangeInReceivables,441000000.0
ChangesInAccountReceivables,441000000.0
OtherNonCashItems,-8000000.0
StockBasedCompensation,530000000.0
DeferredTax,-1228000000.0
DeferredIncomeTax,-1228000000.0
DepreciationAmortizationDepletion,5592000000.0
DepreciationAndAmortization,5592000000.0
Depreciation,5592000000.0
OperatingGainsLosses,149000000.0
EarningsLossesFromEquityInvestments,-10000000.0
GainLossOnInvestmentSecurities,159000000.0
GainLossOnSaleOfBusiness,0.0
NetIncomeFromContinuingOperations,4090000000.0
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.112606
NormalizedEBITDA,13356000000.0
TotalUnusualItems,
TotalUnusualItemsExcludingGoodwill,
NetIncomeFromContinuingOperationNetMinorityInterest,4090000000.0
ReconciledDepreciation,5592000000.0
ReconciledCostOfRevenue,12858000000.0
EBITDA,13356000000.0
EBIT,7764000000.0
