Unnamed: 0,2023-12-31
TreasurySharesNumber,515000000.0
OrdinarySharesNumber,10383000000.0
ShareIssued,10898000000.0
NetDebt,
TotalDebt,135611000000.0
TangibleBookValue,171399000000.0
InvestedCapital,260189000000.0
WorkingCapital,7434000000.0
NetTangibleAssets,171399000000.0
CapitalLeaseObligations,77297000000.0
CommonStockEquity,201875000000.0
TotalCapitalization,260189000000.0
TotalEquityGrossMinorityInterest,201875000000.0
StockholdersEquity,201875000000.0
GainsLossesNotAffectingRetainedEarnings,-3040000000.0
OtherEquityAdjustments,-3040000000.0
TreasuryStock,7837000000.0
RetainedEarnings,113618000000.0
AdditionalPaidInCapital,99025000000.0
CapitalStock,109000000.0
CommonStock,109000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,325979000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,161062000000.0
OtherNonCurrentLiabilities,25451000000.0
LongTermDebtAndCapitalLeaseObligation,135611000000.0
LongTermCapitalLeaseObligation,77297000000.0
LongTermDebt,58314000000.0
CurrentLiabilities,164917000000.0
CurrentDeferredLiabilities,15227000000.0
CurrentDeferredRevenue,15227000000.0
PayablesAndAccruedExpenses,149690000000.0
CurrentAccruedExpenses,64709000000.0
Payables,84981000000.0
AccountsPayable,84981000000.0
TotalAssets,527854000000.0
TotalNonCurrentAssets,355503000000.0
OtherNonCurrentAssets,48337000000.0
GoodwillAndOtherIntangibleAssets,30476000000.0
OtherIntangibleAssets,7687000000.0
Goodwill,22789000000.0
NetPPE,276690000000.0
AccumulatedDepreciation,-120111000000.0
GrossPPE,396801000000.0
ConstructionInProgress,28840000000.0
OtherProperties,262668000000.0
MachineryFurnitureEquipment,
LandAndImprovements,105293000000.0
Properties,105293000000.0
CurrentAssets,172351000000.0
Inventory,33318000000.0
InventoriesAdjustmentsAllowances,-3000000000.0
OtherInventories,36318000000.0
FinishedGoods,
Receivables,52253000000.0
AccountsReceivable,52253000000.0
AllowanceForDoubtfulAccountsReceivable,-1700000000.0
GrossAccountsReceivable,53953000000.0
CashCashEquivalentsAndShortTermInvestments,86780000000.0
OtherShortTermInvestments,13393000000.0
CashAndCashEquivalents,73387000000.0
FreeCashFlow,32217000000.0
RepurchaseOfCapitalStock,0.0
RepaymentOfDebt,-34008000000.0
IssuanceOfDebt,18129000000.0
CapitalExpenditure,-52729000000.0
InterestPaidSupplementalData,3112000000.0
IncomeTaxPaidSupplementalData,11179000000.0
EndCashPosition,73890000000.0
BeginningCashPosition,54253000000.0
EffectOfExchangeRateChanges,403000000.0
ChangesInCash,19234000000.0
FinancingCashFlow,-15879000000.0
CashFlowFromContinuingFinancingActivities,-15879000000.0
NetOtherFinancingCharges,-271000000.0
NetCommonStockIssuance,0.0
CommonStockPayments,0.0
NetIssuancePaymentsOfDebt,-15879000000.0
NetShortTermDebtIssuance,-7548000000.0
ShortTermDebtPayments,-25677000000.0
ShortTermDebtIssuance,18129000000.0
NetLongTermDebtIssuance,-8331000000.0
LongTermDebtPayments,-8331000000.0
LongTermDebtIssuance,0.0
InvestingCashFlow,-49833000000.0
CashFlowFromContinuingInvestingActivities,-49833000000.0
NetInvestmentPurchaseAndSale,4139000000.0
SaleOfInvestment,5627000000.0
PurchaseOfInvestment,-1488000000.0
NetBusinessPurchaseAndSale,-5839000000.0
PurchaseOfBusiness,-5839000000.0
NetPPEPurchaseAndSale,-48133000000.0
SaleOfPPE,4596000000.0
PurchaseOfPPE,-52729000000.0
OperatingCashFlow,84946000000.0
CashFlowFromContinuingOperatingActivities,84946000000.0
ChangeInWorkingCapital,-11541000000.0
ChangeInOtherWorkingCapital,4578000000.0
ChangeInOtherCurrentAssets,-12265000000.0
ChangeInPayablesAndAccruedExpense,3045000000.0
ChangeInAccruedExpense,-2428000000.0
ChangeInPayable,5473000000.0
ChangeInAccountPayable,5473000000.0
ChangeInInventory,1449000000.0
ChangeInReceivables,-8348000000.0
ChangesInAccountReceivables,-8348000000.0
OtherNonCashItems,-748000000.0
StockBasedCompensation,24023000000.0
DeferredTax,-5876000000.0
DeferredIncomeTax,-5876000000.0
DepreciationAmortizationDepletion,48663000000.0
DepreciationAndAmortization,48663000000.0
NetIncomeFromContinuingOperations,30425000000.0
TaxEffectOfUnusualItems,211380035.679101
TaxRateForCalcs,0.189579
NormalizedEBITDA,88287000000.0
TotalUnusualItems,1115000000.0
TotalUnusualItemsExcludingGoodwill,1115000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,30425000000.0
