Unnamed: 0,2023-09-30
TreasurySharesNumber,19000000.0
OrdinarySharesNumber,1830000000.0
ShareIssued,1849000000.0
NetDebt,32249000000.0
TotalDebt,49895000000.0
TangibleBookValue,9149000000.0
InvestedCapital,145708000000.0
WorkingCapital,1624000000.0
NetTangibleAssets,9149000000.0
CapitalLeaseObligations,3464000000.0
CommonStockEquity,99277000000.0
TotalCapitalization,141378000000.0
TotalEquityGrossMinorityInterest,113012000000.0
MinorityInterest,13735000000.0
StockholdersEquity,99277000000.0
GainsLossesNotAffectingRetainedEarnings,-3292000000.0
OtherEquityAdjustments,-3292000000.0
TreasuryStock,907000000.0
RetainedEarnings,46093000000.0
CapitalStock,57383000000.0
CommonStock,57383000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,92567000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,61428000000.0
OtherNonCurrentLiabilities,8605000000.0
PreferredSecuritiesOutsideStockEquity,
EmployeeBenefits,
NonCurrentPensionAndOtherPostretirementBenefitPlans,
NonCurrentDeferredLiabilities,7258000000.0
NonCurrentDeferredTaxesLiabilities,7258000000.0
LongTermDebtAndCapitalLeaseObligation,45565000000.0
LongTermCapitalLeaseObligation,3464000000.0
LongTermDebt,42101000000.0
CurrentLiabilities,31139000000.0
OtherCurrentLiabilities,6138000000.0
CurrentDeferredLiabilities,6138000000.0
CurrentDeferredRevenue,6138000000.0
CurrentDebtAndCapitalLeaseObligation,4330000000.0
CurrentDebt,4330000000.0
PayablesAndAccruedExpenses,20671000000.0
CurrentAccruedExpenses,3270000000.0
Payables,17401000000.0
TotalTaxPayable,2276000000.0
IncomeTaxPayable,2276000000.0
AccountsPayable,15125000000.0
TotalAssets,205579000000.0
TotalNonCurrentAssets,172816000000.0
OtherNonCurrentAssets,11076000000.0
NonCurrentDeferredAssets,33591000000.0
InvestmentsAndAdvances,3080000000.0
InvestmentinFinancialAssets,392000000.0
LongTermEquityInvestment,2688000000.0
GoodwillAndOtherIntangibleAssets,90128000000.0
OtherIntangibleAssets,13061000000.0
Goodwill,77067000000.0
NetPPE,34941000000.0
AccumulatedDepreciation,-42610000000.0
GrossPPE,77551000000.0
Leases,1058000000.0
ConstructionInProgress,6285000000.0
OtherProperties,35255000000.0
MachineryFurnitureEquipment,26358000000.0
BuildingsAndImprovements,
LandAndImprovements,8595000000.0
Properties,0.0
CurrentAssets,32763000000.0
OtherCurrentAssets,1286000000.0
PrepaidAssets,3002000000.0
Inventory,1963000000.0
Receivables,12330000000.0
ReceivablesAdjustmentsAllowances,-115000000.0
OtherReceivables,1014000000.0
TaxesReceivable,1252000000.0
AccountsReceivable,10179000000.0
CashCashEquivalentsAndShortTermInvestments,14182000000.0
CashAndCashEquivalents,14182000000.0
FreeCashFlow,4897000000.0
RepurchaseOfCapitalStock,0.0
RepaymentOfDebt,-1675000000.0
IssuanceOfDebt,83000000.0
CapitalExpenditure,-4969000000.0
InterestPaidSupplementalData,2110000000.0
IncomeTaxPaidSupplementalData,1193000000.0
EndCashPosition,14235000000.0
BeginningCashPosition,11661000000.0
EffectOfExchangeRateChanges,73000000.0
ChangesInCash,2501000000.0
CashFlowFromDiscontinuedOperation,
FinancingCashFlow,-2724000000.0
CashFromDiscontinuedFinancingActivities,0.0
CashFlowFromContinuingFinancingActivities,-2724000000.0
NetOtherFinancingCharges,-941000000.0
ProceedsFromStockOptionExercised,52000000.0
CashDividendsPaid,0.0
CommonStockDividendPaid,0.0
NetCommonStockIssuance,0.0
CommonStockPayments,0.0
NetIssuancePaymentsOfDebt,-1783000000.0
NetShortTermDebtIssuance,-191000000.0
NetLongTermDebtIssuance,-1592000000.0
LongTermDebtPayments,-1675000000.0
LongTermDebtIssuance,83000000.0
InvestingCashFlow,-4641000000.0
CashFromDiscontinuedInvestingActivities,0.0
CashFlowFromContinuingInvestingActivities,-4641000000.0
NetOtherInvestingChanges,-130000000.0
NetInvestmentPurchaseAndSale,458000000.0
SaleOfInvestment,458000000.0
PurchaseOfInvestment,0.0
NetBusinessPurchaseAndSale,
PurchaseOfBusiness,
NetPPEPurchaseAndSale,-4969000000.0
PurchaseOfPPE,-4969000000.0
OperatingCashFlow,9866000000.0
CashFromDiscontinuedOperatingActivities,0.0
