Unnamed: 0,2023-12-31
TreasurySharesNumber,599518678.0
PreferredSharesNumber,91998000.0
OrdinarySharesNumber,323376354.0
ShareIssued,922895032.0
NetDebt,89439000000.0
TotalDebt,333248000000.0
TangibleBookValue,98609000000.0
InvestedCapital,436718000000.0
NetTangibleAssets,109812000000.0
CapitalLeaseObligations,2232000000.0
CommonStockEquity,105702000000.0
PreferredStockEquity,11203000000.0
TotalCapitalization,364772000000.0
TotalEquityGrossMinorityInterest,116905000000.0
StockholdersEquity,116905000000.0
OtherEquityInterest,5121000000.0
GainsLossesNotAffectingRetainedEarnings,-2918000000.0
TreasuryStock,100445000000.0
RetainedEarnings,143688000000.0
AdditionalPaidInCapital,60247000000.0
CapitalStock,11212000000.0
CommonStock,9000000.0
PreferredStock,11203000000.0
TotalLiabilitiesNetMinorityInterest,1524689000000.0
PreferredSecuritiesOutsideStockEquity,363000000.0
DerivativeProductLiabilities,56754000000.0
EmployeeBenefits,7823000000.0
LongTermDebtAndCapitalLeaseObligation,250099000000.0
LongTermCapitalLeaseObligation,2232000000.0
LongTermDebt,247867000000.0
CurrentDebtAndCapitalLeaseObligation,83149000000.0
CurrentDebt,83149000000.0
OtherCurrentBorrowings,81936000000.0
CommercialPaper,1213000000.0
PayablesAndAccruedExpenses,244113000000.0
CurrentAccruedExpenses,10438000000.0
Payables,233675000000.0
TotalTaxPayable,2947000000.0
IncomeTaxPayable,2947000000.0
AccountsPayable,230728000000.0
TotalAssets,1641594000000.0
InvestmentsAndAdvances,573229000000.0
HeldToMaturitySecurities,56835000000.0
AvailableForSaleSecurities,56069000000.0
TradingSecurities,426390000000.0
LongTermEquityInvestment,762000000.0
GoodwillAndOtherIntangibleAssets,7093000000.0
OtherIntangibleAssets,1177000000.0
Goodwill,5916000000.0
NetPPE,13415000000.0
AccumulatedDepreciation,-13640000000.0
GrossPPE,27055000000.0
OtherProperties,27055000000.0
Receivables,148577000000.0
OtherReceivables,16082000000.0
AccountsReceivable,132495000000.0
OtherShortTermInvestments,33173000000.0
CashAndCashEquivalents,241577000000.0
CashCashEquivalentsAndFederalFundsSold,465382000000.0
FreeCashFlow,-14903000000.0
RepurchaseOfCapitalStock,-6796000000.0
RepaymentOfDebt,-57636000000.0
IssuanceOfDebt,50200000000.0
IssuanceOfCapitalStock,1496000000.0
CapitalExpenditure,-2316000000.0
InterestPaidSupplementalData,60026000000.0
IncomeTaxPaidSupplementalData,2389000000.0
EndCashPosition,241577000000.0
BeginningCashPosition,241825000000.0
EffectOfExchangeRateChanges,1851000000.0
ChangesInCash,-2099000000.0
FinancingCashFlow,27800000000.0
CashFlowFromContinuingFinancingActivities,27800000000.0
NetOtherFinancingCharges,2279000000.0
CashDividendsPaid,-4189000000.0
CommonStockDividendPaid,
NetPreferredStockIssuance,496000000.0
PreferredStockPayments,-1000000000.0
PreferredStockIssuance,1496000000.0
NetCommonStockIssuance,-5796000000.0
CommonStockPayments,-5796000000.0
CommonStockIssuance,
NetIssuancePaymentsOfDebt,-4713000000.0
NetShortTermDebtIssuance,2723000000.0
NetLongTermDebtIssuance,-7436000000.0
LongTermDebtPayments,-57636000000.0
LongTermDebtIssuance,50200000000.0
InvestingCashFlow,-17312000000.0
CashFlowFromContinuingInvestingActivities,-17312000000.0
NetInvestmentPurchaseAndSale,-13408000000.0
SaleOfInvestment,26848000000.0
PurchaseOfInvestment,-40256000000.0
NetBusinessPurchaseAndSale,487000000.0
PurchaseOfBusiness,
NetPPEPurchaseAndSale,962000000.0
SaleOfPPE,3278000000.0
PurchaseOfPPE,-2316000000.0
OperatingCashFlow,-12587000000.0
CashFlowFromContinuingOperatingActivities,-12587000000.0
ChangeInWorkingCapital,-27712000000.0
ChangeInOtherWorkingCapital,-189574000000.0
StockBasedCompensation,2085000000.0
DeferredTax,-1360000000.0
DeferredIncomeTax,-1360000000.0
DepreciationAmortizationDepletion,4856000000.0
DepreciationAndAmortization,4856000000.0
OperatingGainsLosses,
NetIncomeFromContinuingOperations,8516000000.0
TaxEffectOfUnusualItems,-350451000.0
TaxRateForCalcs,0.207
TotalUnusualItems,-1693000000.0
TotalUnusualItemsExcludingGoodwill,-1693000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,8516000000.0
ReconciledDepreciation,4856000000.0
NetInterestIncome,6351000000.0
InterestExpense,62164000000.0
InterestIncome,68515000000.0
NormalizedIncome,9858549000.0
NetIncomeFromContinuingAndDiscontinuedOperation,8516000000.0
DilutedAverageShares,345800000.0
BasicAverageShares,340800000.0
DilutedEPS,22.87
BasicEPS,23.05
DilutedNIAvailtoComStockholders,7907000000.0
NetIncomeCommonStockholders,7907000000.0
PreferredStockDividends,609000000.0
NetIncome,8516000000.0
NetIncomeIncludingNoncontrollingInterests,8516000000.0
NetIncomeContinuousOperations,8516000000.0
TaxProvision,2223000000.0
PretaxIncome,10739000000.0
SpecialIncomeCharges,-1693000000.0
OtherSpecialCharges,115000000.0
ImpairmentOfCapitalAssets,1578000000.0
GainOnSaleOfSecurity,0.0
DepreciationAmortizationDepletionIncomeStatement,4856000000.0
DepreciationAndAmortizationInIncomeStatement,4856000000.0
SellingGeneralAndAdministration,16128000000.0
SellingAndMarketingExpense,629000000.0
GeneralAndAdministrativeExpense,15499000000.0
OtherGandA,
SalariesAndWages,15499000000.0
TotalRevenue,46254000000.0
OperatingRevenue,46254000000.0
OccupancyAndEquipment,1053000000.0
ProfessionalExpenseAndContractServicesExpense,1623000000.0
OtherNonInterestExpense,9134000000.0
