Unnamed: 0,2023-01-31
TreasurySharesNumber,778000000.0
OrdinarySharesNumber,1016000000.0
ShareIssued,1794000000.0
NetDebt,40436000000.0
TotalDebt,50364000000.0
TangibleBookValue,-5882000000.0
InvestedCapital,44755000000.0
WorkingCapital,9361000000.0
NetTangibleAssets,-5882000000.0
CapitalLeaseObligations,7171000000.0
CommonStockEquity,1562000000.0
TotalCapitalization,43524000000.0
TotalEquityGrossMinorityInterest,1562000000.0
StockholdersEquity,1562000000.0
GainsLossesNotAffectingRetainedEarnings,-718000000.0
OtherEquityAdjustments,-718000000.0
TreasuryStock,87298000000.0
RetainedEarnings,76896000000.0
AdditionalPaidInCapital,12592000000.0
CapitalStock,90000000.0
CommonStock,90000000.0
TotalLiabilitiesNetMinorityInterest,74883000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,51773000000.0
OtherNonCurrentLiabilities,2566000000.0
NonCurrentDeferredLiabilities,1019000000.0
NonCurrentDeferredTaxesLiabilities,1019000000.0
LongTermDebtAndCapitalLeaseObligation,48188000000.0
LongTermCapitalLeaseObligation,6226000000.0
LongTermDebt,41962000000.0
CurrentLiabilities,23110000000.0
CurrentDeferredLiabilities,3064000000.0
CurrentDeferredRevenue,3064000000.0
CurrentDebtAndCapitalLeaseObligation,2176000000.0
CurrentCapitalLeaseObligation,945000000.0
CurrentDebt,1231000000.0
OtherCurrentBorrowings,1231000000.0
CommercialPaper,0.0
PayablesAndAccruedExpenses,17870000000.0
CurrentAccruedExpenses,5849000000.0
Payables,12021000000.0
TotalTaxPayable,578000000.0
IncomeTaxPayable,50000000.0
AccountsPayable,11443000000.0
TotalAssets,76445000000.0
TotalNonCurrentAssets,43974000000.0
OtherNonCurrentAssets,3958000000.0
NonCurrentDeferredAssets,
NonCurrentDeferredTaxesAssets,
FinancialAssets,
GoodwillAndOtherIntangibleAssets,7444000000.0
OtherIntangibleAssets,3323000000.0
Goodwill,7444000000.0
NetPPE,32572000000.0
AccumulatedDepreciation,-26644000000.0
GrossPPE,59216000000.0
Leases,2130000000.0
ConstructionInProgress,1297000000.0
OtherProperties,11076000000.0
MachineryFurnitureEquipment,16564000000.0
BuildingsAndImprovements,19430000000.0
LandAndImprovements,8719000000.0
Properties,0.0
CurrentAssets,32471000000.0
OtherCurrentAssets,1511000000.0
Inventory,24886000000.0
FinishedGoods,24886000000.0
Receivables,3317000000.0
OtherReceivables,495000000.0
AccountsReceivable,2822000000.0
CashCashEquivalentsAndShortTermInvestments,2757000000.0
CashAndCashEquivalents,2757000000.0
FreeCashFlow,11496000000.0
RepurchaseOfCapitalStock,-6696000000.0
RepaymentOfDebt,-2491000000.0
IssuanceOfDebt,6942000000.0
IssuanceOfCapitalStock,264000000.0
CapitalExpenditure,-3119000000.0
InterestPaidSupplementalData,1449000000.0
IncomeTaxPaidSupplementalData,5435000000.0
EndCashPosition,2757000000.0
BeginningCashPosition,2343000000.0
EffectOfExchangeRateChanges,-68000000.0
ChangesInCash,482000000.0
FinancingCashFlow,-10993000000.0
CashFlowFromContinuingFinancingActivities,-10993000000.0
NetOtherFinancingCharges,-188000000.0
CashDividendsPaid,-7789000000.0
CommonStockDividendPaid,-7789000000.0
NetCommonStockIssuance,-6432000000.0
CommonStockPayments,-6696000000.0
CommonStockIssuance,264000000.0
NetIssuancePaymentsOfDebt,3416000000.0
NetShortTermDebtIssuance,-1035000000.0
ShortTermDebtPayments,
NetLongTermDebtIssuance,4451000000.0
LongTermDebtPayments,-2491000000.0
LongTermDebtIssuance,6942000000.0
InvestingCashFlow,-3140000000.0
CashFlowFromContinuingInvestingActivities,-3140000000.0
NetOtherInvestingChanges,-21000000.0
NetBusinessPurchaseAndSale,0.0
PurchaseOfBusiness,0.0
CapitalExpenditureReported,-3119000000.0
OperatingCashFlow,14615000000.0
CashFlowFromContinuingOperatingActivities,14615000000.0
ChangeInWorkingCapital,-6102000000.0
ChangeInOtherWorkingCapital,-388000000.0
ChangeInOtherCurrentAssets,-311000000.0
ChangeInPayablesAndAccruedExpense,-2684000000.0
ChangeInPayable,-2684000000.0
ChangeInAccountPayable,-2577000000.0
ChangeInTaxPayable,-107000000.0
ChangeInIncomeTaxPayable,-107000000.0
ChangeInInventory,-2830000000.0
ChangeInReceivables,111000000.0
OtherNonCashItems,271000000.0
StockBasedCompensation,366000000.0
AssetImpairmentCharge,
DeferredTax,
DeferredIncomeTax,
DepreciationAmortizationDepletion,2975000000.0
DepreciationAndAmortization,2975000000.0
NetIncomeFromContinuingOperations,17105000000.0
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.239
NormalizedEBITDA,27069000000.0
TotalUnusualItems,
TotalUnusualItemsExcludingGoodwill,
NetIncomeFromContinuingOperationNetMinorityInterest,17105000000.0
ReconciledDepreciation,2975000000.0
ReconciledCostOfRevenue,104105000000.0
EBITDA,27069000000.0
EBIT,24094000000.0
NetInterestIncome,-1562000000.0
InterestExpense,1617000000.0
InterestIncome,55000000.0
NormalizedIncome,17105000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,17105000000.0
TotalExpenses,133364000000.0
TotalOperatingIncomeAsReported,24039000000.0
DilutedAverageShares,1025000000.0
BasicAverageShares,1022000000.0
DilutedEPS,16.69
BasicEPS,16.74
DilutedNIAvailtoComStockholders,17105000000.0
NetIncomeCommonStockholders,17105000000.0
NetIncome,17105000000.0
NetIncomeIncludingNoncontrollingInterests,17105000000.0
NetIncomeContinuousOperations,17105000000.0
TaxProvision,5372000000.0
PretaxIncome,22477000000.0
OtherIncomeExpense,1000000.0
OtherNonOperatingIncomeExpenses,1000000.0
