Unnamed: 0,2024-01-31
TreasurySharesNumber,804000000.0
OrdinarySharesNumber,992000000.0
ShareIssued,1796000000.0
NetDebt,40351000000.0
TotalDebt,52243000000.0
TangibleBookValue,-7411000000.0
InvestedCapital,45155000000.0
WorkingCapital,7760000000.0
NetTangibleAssets,-7411000000.0
CapitalLeaseObligations,8132000000.0
CommonStockEquity,1044000000.0
TotalCapitalization,43787000000.0
TotalEquityGrossMinorityInterest,1044000000.0
StockholdersEquity,1044000000.0
GainsLossesNotAffectingRetainedEarnings,-477000000.0
OtherEquityAdjustments,-477000000.0
TreasuryStock,95372000000.0
RetainedEarnings,83656000000.0
AdditionalPaidInCapital,13147000000.0
CapitalStock,90000000.0
CommonStock,90000000.0
TotalLiabilitiesNetMinorityInterest,75486000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,53471000000.0
OtherNonCurrentLiabilities,2783000000.0
NonCurrentDeferredLiabilities,863000000.0
NonCurrentDeferredTaxesLiabilities,863000000.0
LongTermDebtAndCapitalLeaseObligation,49825000000.0
LongTermCapitalLeaseObligation,7082000000.0
LongTermDebt,42743000000.0
CurrentLiabilities,22015000000.0
CurrentDeferredLiabilities,2762000000.0
CurrentDeferredRevenue,2762000000.0
CurrentDebtAndCapitalLeaseObligation,2418000000.0
CurrentCapitalLeaseObligation,1050000000.0
CurrentDebt,1368000000.0
OtherCurrentBorrowings,1368000000.0
CommercialPaper,
PayablesAndAccruedExpenses,16835000000.0
CurrentAccruedExpenses,6321000000.0
Payables,10514000000.0
TotalTaxPayable,477000000.0
IncomeTaxPayable,28000000.0
AccountsPayable,10037000000.0
TotalAssets,76530000000.0
TotalNonCurrentAssets,46755000000.0
OtherNonCurrentAssets,4262000000.0
NonCurrentDeferredAssets,
NonCurrentDeferredTaxesAssets,
FinancialAssets,
GoodwillAndOtherIntangibleAssets,8455000000.0
OtherIntangibleAssets,3606000000.0
Goodwill,8455000000.0
NetPPE,34038000000.0
AccumulatedDepreciation,-27103000000.0
GrossPPE,61141000000.0
Leases,2254000000.0
ConstructionInProgress,1192000000.0
OtherProperties,11971000000.0
MachineryFurnitureEquipment,16667000000.0
BuildingsAndImprovements,20030000000.0
LandAndImprovements,9027000000.0
Properties,0.0
CurrentAssets,29775000000.0
OtherCurrentAssets,1711000000.0
Inventory,20976000000.0
FinishedGoods,20976000000.0
Receivables,3328000000.0
OtherReceivables,575000000.0
AccountsReceivable,2753000000.0
CashCashEquivalentsAndShortTermInvestments,3760000000.0
CashAndCashEquivalents,3760000000.0
FreeCashFlow,17946000000.0
RepurchaseOfCapitalStock,-7951000000.0
RepaymentOfDebt,-1271000000.0
IssuanceOfDebt,1995000000.0
IssuanceOfCapitalStock,323000000.0
CapitalExpenditure,-3226000000.0
InterestPaidSupplementalData,1809000000.0
IncomeTaxPaidSupplementalData,5023000000.0
EndCashPosition,3760000000.0
BeginningCashPosition,2757000000.0
EffectOfExchangeRateChanges,3000000.0
ChangesInCash,1000000000.0
FinancingCashFlow,-15443000000.0
CashFlowFromContinuingFinancingActivities,-15443000000.0
NetOtherFinancingCharges,-156000000.0
CashDividendsPaid,-8383000000.0
CommonStockDividendPaid,-8383000000.0
NetCommonStockIssuance,-7628000000.0
CommonStockPayments,-7951000000.0
CommonStockIssuance,323000000.0
NetIssuancePaymentsOfDebt,724000000.0
NetShortTermDebtIssuance,0.0
ShortTermDebtPayments,
NetLongTermDebtIssuance,724000000.0
LongTermDebtPayments,-1271000000.0
LongTermDebtIssuance,1995000000.0
InvestingCashFlow,-4729000000.0
CashFlowFromContinuingInvestingActivities,-4729000000.0
NetOtherInvestingChanges,11000000.0
NetBusinessPurchaseAndSale,-1514000000.0
PurchaseOfBusiness,-1514000000.0
CapitalExpenditureReported,-3226000000.0
OperatingCashFlow,21172000000.0
CashFlowFromContinuingOperatingActivities,21172000000.0
ChangeInWorkingCapital,2088000000.0
ChangeInOtherWorkingCapital,-563000000.0
ChangeInOtherCurrentAssets,-184000000.0
ChangeInPayablesAndAccruedExpense,-1436000000.0
ChangeInPayable,-1436000000.0
ChangeInAccountPayable,-1411000000.0
ChangeInTaxPayable,-25000000.0
ChangeInIncomeTaxPayable,-25000000.0
ChangeInInventory,4137000000.0
ChangeInReceivables,134000000.0
OtherNonCashItems,314000000.0
StockBasedCompensation,380000000.0
AssetImpairmentCharge,
DeferredTax,
DeferredIncomeTax,
DepreciationAmortizationDepletion,3247000000.0
DepreciationAndAmortization,3247000000.0
NetIncomeFromContinuingOperations,15143000000.0
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.24
NormalizedEBITDA,25114000000.0
TotalUnusualItems,
TotalUnusualItemsExcludingGoodwill,
NetIncomeFromContinuingOperationNetMinorityInterest,15143000000.0
ReconciledDepreciation,3247000000.0
ReconciledCostOfRevenue,101135000000.0
EBITDA,25114000000.0
EBIT,21867000000.0
NetInterestIncome,-1765000000.0
InterestExpense,1943000000.0
InterestIncome,178000000.0
NormalizedIncome,15143000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,15143000000.0
TotalExpenses,130980000000.0
TotalOperatingIncomeAsReported,21689000000.0
DilutedAverageShares,1002000000.0
BasicAverageShares,999000000.0
DilutedEPS,15.11
BasicEPS,15.16
DilutedNIAvailtoComStockholders,15143000000.0
NetIncomeCommonStockholders,15143000000.0
NetIncome,15143000000.0
