Unnamed: 0,2023-12-31
TreasurySharesNumber,1351897514.0
OrdinarySharesNumber,915013646.0
ShareIssued,2266911160.0
NetDebt,43479000000.0
TotalDebt,59935000000.0
TangibleBookValue,-48681000000.0
InvestedCapital,79080000000.0
WorkingCapital,-1214000000.0
NetTangibleAssets,-48681000000.0
CapitalLeaseObligations,3388000000.0
CommonStockEquity,22533000000.0
TotalCapitalization,72654000000.0
TotalEquityGrossMinorityInterest,22613000000.0
MinorityInterest,80000000.0
StockholdersEquity,22533000000.0
OtherEquityInterest,-1000000.0
GainsLossesNotAffectingRetainedEarnings,-18761000000.0
OtherEquityAdjustments,-18761000000.0
TreasuryStock,169624000000.0
RetainedEarnings,151276000000.0
CapitalStock,59643000000.0
CommonStock,59643000000.0
TotalLiabilitiesNetMinorityInterest,112628000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,78506000000.0
OtherNonCurrentLiabilities,1164000000.0
LiabilitiesHeldforSaleNonCurrent,
DerivativeProductLiabilities,299000000.0
EmployeeBenefits,12553000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,12245000000.0
NonCurrentAccruedExpenses,206000000.0
TradeandOtherPayablesNonCurrent,
NonCurrentDeferredLiabilities,4679000000.0
NonCurrentDeferredRevenue,3533000000.0
NonCurrentDeferredTaxesLiabilities,1146000000.0
LongTermDebtAndCapitalLeaseObligation,52689000000.0
LongTermCapitalLeaseObligation,2568000000.0
LongTermDebt,50121000000.0
LongTermProvisions,6916000000.0
CurrentLiabilities,34122000000.0
OtherCurrentLiabilities,1000000.0
CurrentDeferredLiabilities,13451000000.0
CurrentDeferredRevenue,13451000000.0
CurrentDebtAndCapitalLeaseObligation,7246000000.0
CurrentCapitalLeaseObligation,820000000.0
CurrentDebt,6426000000.0
OtherCurrentBorrowings,6426000000.0
CommercialPaper,
PensionandOtherPostRetirementBenefitPlansCurrent,3501000000.0
PayablesAndAccruedExpenses,9923000000.0
CurrentAccruedExpenses,3521000000.0
Payables,6402000000.0
TotalTaxPayable,2270000000.0
AccountsPayable,4132000000.0
TotalAssets,135241000000.0
TotalNonCurrentAssets,102332000000.0
OtherNonCurrentAssets,1626000000.0
DefinedPensionBenefit,7506000000.0
NonCurrentPrepaidAssets,7506000000.0
NonCurrentDeferredAssets,7498000000.0
NonCurrentDeferredTaxesAssets,6656000000.0
NonCurrentAccountsReceivable,5766000000.0
FinancialAssets,
InvestmentsAndAdvances,
OtherInvestments,
LongTermEquityInvestment,
InvestmentsInOtherVenturesUnderEquityMethod,
GoodwillAndOtherIntangibleAssets,71214000000.0
OtherIntangibleAssets,11036000000.0
Goodwill,60178000000.0
NetPPE,8722000000.0
AccumulatedDepreciation,-12621000000.0
GrossPPE,21343000000.0
OtherProperties,6605000000.0
MachineryFurnitureEquipment,9223000000.0
BuildingsAndImprovements,5333000000.0
LandAndImprovements,182000000.0
Properties,0.0
CurrentAssets,32908000000.0
OtherCurrentAssets,2639000000.0
AssetsHeldForSaleCurrent,692000000.0
CurrentDeferredAssets,998000000.0
RestrictedCash,21000000.0
PrepaidAssets,
Inventory,1161000000.0
OtherInventories,
FinishedGoods,78000000.0
WorkInProcess,1083000000.0
Receivables,13956000000.0
OtherReceivables,6742000000.0
AccountsReceivable,7214000000.0
AllowanceForDoubtfulAccountsReceivable,-192000000.0
GrossAccountsReceivable,7406000000.0
CashCashEquivalentsAndShortTermInvestments,13441000000.0
OtherShortTermInvestments,373000000.0
CashAndCashEquivalents,13068000000.0
FreeCashFlow,12121000000.0
RepurchaseOfCapitalStock,-402000000.0
RepaymentOfDebt,-5082000000.0
IssuanceOfDebt,9586000000.0
CapitalExpenditure,-1810000000.0
InterestPaidSupplementalData,1668000000.0
IncomeTaxPaidSupplementalData,1564000000.0
EndCashPosition,13089000000.0
BeginningCashPosition,7988000000.0
EffectOfExchangeRateChanges,9000000.0
ChangesInCash,5092000000.0
FinancingCashFlow,-1769000000.0
CashFlowFromContinuingFinancingActivities,-1769000000.0
NetOtherFinancingCharges,176000000.0
CashDividendsPaid,-6040000000.0
CommonStockDividendPaid,-6040000000.0
NetCommonStockIssuance,-402000000.0
CommonStockPayments,-402000000.0
NetIssuancePaymentsOfDebt,4497000000.0
NetShortTermDebtIssuance,-7000000.0
NetLongTermDebtIssuance,4504000000.0
LongTermDebtPayments,-5082000000.0
LongTermDebtIssuance,9586000000.0
InvestingCashFlow,-7070000000.0
CashFlowFromContinuingInvestingActivities,-7071000000.0
NetOtherInvestingChanges,1000000.0
NetInvestmentPurchaseAndSale,-496000000.0
SaleOfInvestment,10647000000.0
PurchaseOfInvestment,-11143000000.0
NetBusinessPurchaseAndSale,-5086000000.0
SaleOfBusiness,
PurchaseOfBusiness,-5086000000.0
NetIntangiblesPurchaseAndSale,-565000000.0
PurchaseOfIntangibles,-565000000.0
NetPPEPurchaseAndSale,-924000000.0
SaleOfPPE,321000000.0
PurchaseOfPPE,-1245000000.0
OperatingCashFlow,13931000000.0
CashFlowFromContinuingOperatingActivities,13931000000.0
ChangeInWorkingCapital,2184000000.0
ChangeInOtherWorkingCapital,1004000000.0
ChangeInPayablesAndAccruedExpense,65000000.0
ChangeInPayable,65000000.0
ChangeInAccountPayable,65000000.0
ChangeInInventory,390000000.0
ChangeInReceivables,725000000.0
OtherNonCashItems,
StockBasedCompensation,1133000000.0
DeferredTax,-1114000000.0
DeferredIncomeTax,-1114000000.0
DepreciationAmortizationDepletion,4396000000.0
DepreciationAndAmortization,4396000000.0
AmortizationCashFlow,2287000000.0
AmortizationOfIntangibles,2287000000.0
Depreciation,2109000000.0
OperatingGainsLosses,-170000000.0
PensionAndEmployeeBenefitExpense,0.0
NetIncomeFromContinuingOperations,7502000000.0
TaxEffectOfUnusualItems,-7020000.0
TaxRateForCalcs,0.135
NormalizedEBITDA,14745000000.0
TotalUnusualItems,-52000000.0
TotalUnusualItemsExcludingGoodwill,-52000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,7514000000.0
ReconciledDepreciation,4396000000.0
ReconciledCostOfRevenue,24159000000.0
EBITDA,14693000000.0
EBIT,10297000000.0
NetInterestIncome,-937000000.0
InterestExpense,1607000000.0
InterestIncome,670000000.0
NormalizedIncome,7558980000.0
NetIncomeFromContinuingAndDiscontinuedOperation,7502000000.0
TotalExpenses,52486000000.0
DilutedAverageShares,922073828.0
BasicAverageShares,911210319.0
DilutedEPS,8.14
BasicEPS,8.23
DilutedNIAvailtoComStockholders,7502000000.0
AverageDilutionEarnings,0.0
NetIncomeCommonStockholders,7502000000.0
NetIncome,7502000000.0
NetIncomeIncludingNoncontrollingInterests,7502000000.0
NetIncomeDiscontinuousOperations,-12000000.0
NetIncomeContinuousOperations,7514000000.0
TaxProvision,1176000000.0
PretaxIncome,8690000000.0
OtherIncomeExpense,253000000.0
OtherNonOperatingIncomeExpenses,305000000.0
SpecialIncomeCharges,8000000.0
GainOnSaleOfPPE,8000000.0
WriteOff,
GainOnSaleOfSecurity,-60000000.0
NetNonOperatingInterestIncomeExpense,-937000000.0
InterestExpenseNonOperating,1607000000.0
InterestIncomeNonOperating,670000000.0
OperatingIncome,9374000000.0
OperatingExpense,24926000000.0
OtherOperatingExpenses,-851000000.0
ProvisionForDoubtfulAccounts,10000000.0
DepreciationAmortizationDepletionIncomeStatement,995000000.0
DepreciationAndAmortizationInIncomeStatement,995000000.0
Amortization,995000000.0
AmortizationOfIntangiblesIncomeStatement,995000000.0
ResearchAndDevelopment,6775000000.0
SellingGeneralAndAdministration,17997000000.0
SellingAndMarketingExpense,1237000000.0
GeneralAndAdministrativeExpense,16760000000.0
OtherGandA,15706000000.0
SalariesAndWages,1054000000.0
GrossProfit,34300000000.0
CostOfRevenue,27560000000.0
TotalRevenue,61860000000.0
OperatingRevenue,61860000000.0
