Unnamed: 0,2023-12-31
TreasurySharesNumber,1228275301.0
PreferredSharesNumber,391850000.0
OrdinarySharesNumber,2876658594.0
ShareIssued,4104933895.0
TotalDebt,436537000000.0
TangibleBookValue,236093000000.0
InvestedCapital,737011000000.0
NetTangibleAssets,263497000000.0
CommonStockEquity,300474000000.0
PreferredStockEquity,27404000000.0
TotalCapitalization,719703000000.0
TotalEquityGrossMinorityInterest,327878000000.0
StockholdersEquity,327878000000.0
GainsLossesNotAffectingRetainedEarnings,-10443000000.0
OtherEquityAdjustments,-10443000000.0
TreasuryStock,116217000000.0
RetainedEarnings,332901000000.0
AdditionalPaidInCapital,90128000000.0
CapitalStock,31509000000.0
CommonStock,4105000000.0
PreferredStock,27404000000.0
TotalLiabilitiesNetMinorityInterest,3547515000000.0
LongTermDebtAndCapitalLeaseObligation,391825000000.0
LongTermDebt,391825000000.0
CurrentDebtAndCapitalLeaseObligation,44712000000.0
CurrentDebt,44712000000.0
OtherCurrentBorrowings,44712000000.0
CommercialPaper,
PayablesAndAccruedExpenses,317954000000.0
Payables,317954000000.0
OtherPayable,155994000000.0
AccountsPayable,161960000000.0
TotalAssets,3875393000000.0
InvestmentsAndAdvances,973946000000.0
HeldToMaturitySecurities,369848000000.0
AvailableForSaleSecurities,
TradingSecurities,411613000000.0
GoodwillAndOtherIntangibleAssets,64381000000.0
OtherIntangibleAssets,11747000000.0
Goodwill,52634000000.0
NetPPE,30157000000.0
GrossPPE,30157000000.0
OtherProperties,15295000000.0
Properties,14862000000.0
Receivables,107363000000.0
OtherReceivables,
AccountsReceivable,107363000000.0
OtherShortTermInvestments,192485000000.0
CashAndCashEquivalents,624151000000.0
CashFinancial,29066000000.0
CashCashEquivalentsAndFederalFundsSold,900303000000.0
FreeCashFlow,12974000000.0
RepurchaseOfCapitalStock,-9824000000.0
RepaymentOfDebt,-64880000000.0
IssuanceOfDebt,75417000000.0
IssuanceOfCapitalStock,0.0
InterestPaidSupplementalData,77114000000.0
IncomeTaxPaidSupplementalData,9908000000.0
EndCashPosition,624151000000.0
BeginningCashPosition,567234000000.0
EffectOfExchangeRateChanges,1871000000.0
ChangesInCash,55046000000.0
FinancingCashFlow,-25571000000.0
CashFlowFromContinuingFinancingActivities,-25571000000.0
NetOtherFinancingCharges,7508000000.0
CashDividendsPaid,-13463000000.0
NetPreferredStockIssuance,0.0
PreferredStockPayments,0.0
PreferredStockIssuance,0.0
NetCommonStockIssuance,-9824000000.0
CommonStockPayments,-9824000000.0
NetIssuancePaymentsOfDebt,8603000000.0
NetShortTermDebtIssuance,-1934000000.0
NetLongTermDebtIssuance,10537000000.0
LongTermDebtPayments,-64880000000.0
LongTermDebtIssuance,75417000000.0
InvestingCashFlow,67643000000.0
CashFlowFromContinuingInvestingActivities,67643000000.0
NetOtherInvestingChanges,-16740000000.0
NetInvestmentPurchaseAndSale,95594000000.0
SaleOfInvestment,215234000000.0
PurchaseOfInvestment,-119640000000.0
NetBusinessPurchaseAndSale,-9920000000.0
PurchaseOfBusiness,-9920000000.0
OperatingCashFlow,12974000000.0
CashFlowFromContinuingOperatingActivities,12974000000.0
ChangeInWorkingCapital,-56168000000.0
ChangeInOtherWorkingCapital,-83678000000.0
ChangeInOtherCurrentAssets,32970000000.0
ChangeInPayablesAndAccruedExpense,-25388000000.0
ChangeInPayable,-25388000000.0
ChangeInAccountPayable,-25388000000.0
ChangeInReceivables,19928000000.0
ChangesInAccountReceivables,19928000000.0
OtherNonCashItems,7292000000.0
DeferredTax,-4534000000.0
DeferredIncomeTax,-4534000000.0
DepreciationAmortizationDepletion,7512000000.0
DepreciationAndAmortization,7512000000.0
OperatingGainsLosses,-2775000000.0
GainLossOnInvestmentSecurities,0.0
GainLossOnSaleOfBusiness,-2775000000.0
NetIncomeFromContinuingOperations,49552000000.0
TaxEffectOfUnusualItems,-446681166.006622
TaxRateForCalcs,0.195741
TotalUnusualItems,-2282000000.0
TotalUnusualItemsExcludingGoodwill,-2282000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,49552000000.0
ReconciledDepreciation,7512000000.0
NetInterestIncome,89267000000.0
InterestExpense,81321000000.0
InterestIncome,170588000000.0
NormalizedIncome,51387318833.99338
NetIncomeFromContinuingAndDiscontinuedOperation,49552000000.0
DilutedAverageShares,2943100000.0
BasicAverageShares,2938600000.0
DilutedEPS,16.23
BasicEPS,16.25
DilutedNIAvailtoComStockholders,47760000000.0
NetIncomeCommonStockholders,47760000000.0
OtherunderPreferredStockDividend,291000000.0
PreferredStockDividends,1501000000.0
NetIncome,49552000000.0
NetIncomeIncludingNoncontrollingInterests,49552000000.0
NetIncomeContinuousOperations,49552000000.0
TaxProvision,12060000000.0
PretaxIncome,61612000000.0
SpecialIncomeCharges,-2282000000.0
OtherSpecialCharges,4336000000.0
RestructuringAndMergernAcquisition,-2054000000.0
GainOnSaleOfSecurity,-3218000000.0
SellingGeneralAndAdministration,51056000000.0
SellingAndMarketingExpense,4591000000.0
GeneralAndAdministrativeExpense,46465000000.0
OtherGandA,
SalariesAndWages,46465000000.0
TotalRevenue,154952000000.0
OperatingRevenue,154952000000.0
OccupancyAndEquipment,13836000000.0
ProfessionalExpenseAndContractServicesExpense,10235000000.0
OtherNonInterestExpense,6649000000.0
