Unnamed: 0,2023-12-31
TreasurySharesNumber,391451920.0
OrdinarySharesNumber,552581136.0
ShareIssued,944033056.0
NetDebt,10300000000.0
TotalDebt,16751000000.0
TangibleBookValue,-2898000000.0
InvestedCapital,20842000000.0
WorkingCapital,1082000000.0
NetTangibleAssets,-2898000000.0
CapitalLeaseObligations,716000000.0
CommonStockEquity,4807000000.0
TotalCapitalization,17895000000.0
TotalEquityGrossMinorityInterest,4868000000.0
MinorityInterest,61000000.0
StockholdersEquity,4807000000.0
GainsLossesNotAffectingRetainedEarnings,-6778000000.0
OtherEquityAdjustments,-6778000000.0
TreasuryStock,32859000000.0
RetainedEarnings,37479000000.0
AdditionalPaidInCapital,6956000000.0
CapitalStock,9000000.0
CommonStock,9000000.0
TotalLiabilitiesNetMinorityInterest,45712000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,30415000000.0
OtherNonCurrentLiabilities,12492000000.0
LiabilitiesHeldforSaleNonCurrent,686000000.0
EmployeeBenefits,2478000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,2156000000.0
TradeandOtherPayablesNonCurrent,832000000.0
NonCurrentDeferredLiabilities,315000000.0
NonCurrentDeferredTaxesLiabilities,315000000.0
LongTermDebtAndCapitalLeaseObligation,13612000000.0
LongTermCapitalLeaseObligation,524000000.0
LongTermDebt,13088000000.0
CurrentLiabilities,15297000000.0
OtherCurrentLiabilities,7310000000.0
CurrentDeferredLiabilities,23000000.0
CurrentDeferredRevenue,23000000.0
CurrentDebtAndCapitalLeaseObligation,3139000000.0
CurrentCapitalLeaseObligation,192000000.0
CurrentDebt,2947000000.0
OtherCurrentBorrowings,1152000000.0
CommercialPaper,1795000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,303000000.0
PayablesAndAccruedExpenses,4522000000.0
CurrentAccruedExpenses,1288000000.0
Payables,3234000000.0
TotalTaxPayable,458000000.0
IncomeTaxPayable,304000000.0
AccountsPayable,2776000000.0
TotalAssets,50580000000.0
TotalNonCurrentAssets,34201000000.0
OtherNonCurrentAssets,11888000000.0
DefinedPensionBenefit,1239000000.0
NonCurrentDeferredAssets,4779000000.0
NonCurrentDeferredTaxesAssets,4779000000.0
NonCurrentAccountsReceivable,33000000.0
InvestmentsAndAdvances,210000000.0
InvestmentinFinancialAssets,
LongTermEquityInvestment,210000000.0
GoodwillAndOtherIntangibleAssets,7705000000.0
OtherIntangibleAssets,1323000000.0
Goodwill,6382000000.0
NetPPE,8347000000.0
AccumulatedDepreciation,-15804000000.0
GrossPPE,24151000000.0
ConstructionInProgress,1532000000.0
OtherProperties,657000000.0
MachineryFurnitureEquipment,14716000000.0
BuildingsAndImprovements,7031000000.0
LandAndImprovements,215000000.0
Properties,0.0
CurrentAssets,16379000000.0
OtherCurrentAssets,144000000.0
HedgingAssetsCurrent,73000000.0
AssetsHeldForSaleCurrent,2379000000.0
RestrictedCash,
PrepaidAssets,344000000.0
Inventory,3944000000.0
FinishedGoods,1842000000.0
WorkInProcess,1242000000.0
RawMaterials,860000000.0
Receivables,3710000000.0
OtherReceivables,109000000.0
AccountsReceivable,3601000000.0
AllowanceForDoubtfulAccountsReceivable,-62000000.0
GrossAccountsReceivable,3663000000.0
CashCashEquivalentsAndShortTermInvestments,5785000000.0
OtherShortTermInvestments,50000000.0
CashAndCashEquivalents,5735000000.0
FreeCashFlow,5065000000.0
RepurchaseOfCapitalStock,-33000000.0
RepaymentOfDebt,-3086000000.0
IssuanceOfDebt,2835000000.0
CapitalExpenditure,-1615000000.0
InterestPaidSupplementalData,520000000.0
IncomeTaxPaidSupplementalData,1384000000.0
EndCashPosition,5933000000.0
BeginningCashPosition,3655000000.0
EffectOfExchangeRateChanges,-48000000.0
ChangesInCash,2326000000.0
FinancingCashFlow,-3147000000.0
CashFlowFromContinuingFinancingActivities,-3147000000.0
NetOtherFinancingCharges,-21000000.0
ProceedsFromStockOptionExercised,264000000.0
CashDividendsPaid,-3311000000.0
CommonStockDividendPaid,-3311000000.0
NetCommonStockIssuance,-33000000.0
CommonStockPayments,-33000000.0
NetIssuancePaymentsOfDebt,-46000000.0
NetShortTermDebtIssuance,205000000.0
NetLongTermDebtIssuance,-251000000.0
LongTermDebtPayments,-3086000000.0
LongTermDebtIssuance,2835000000.0
InvestingCashFlow,-1207000000.0
CashFlowFromContinuingInvestingActivities,-1207000000.0
NetOtherInvestingChanges,35000000.0
NetInvestmentPurchaseAndSale,194000000.0
SaleOfInvestment,1660000000.0
PurchaseOfInvestment,-1466000000.0
NetBusinessPurchaseAndSale,60000000.0
SaleOfBusiness,60000000.0
PurchaseOfBusiness,
NetPPEPurchaseAndSale,-1496000000.0
SaleOfPPE,119000000.0
PurchaseOfPPE,-1615000000.0
OperatingCashFlow,6680000000.0
CashFlowFromContinuingOperatingActivities,6680000000.0
ChangeInWorkingCapital,317000000.0
ChangeInPayablesAndAccruedExpense,-80000000.0
ChangeInPayable,-80000000.0
ChangeInAccountPayable,138000000.0
ChangeInTaxPayable,-218000000.0
ChangeInIncomeTaxPayable,-218000000.0
ChangeInInventory,567000000.0
ChangeInReceivables,-170000000.0
ChangesInAccountReceivables,-170000000.0
OtherNonCashItems,14827000000.0
StockBasedCompensation,274000000.0
AssetImpairmentCharge,0.0
DeferredTax,-3855000000.0
DeferredIncomeTax,-3855000000.0
DepreciationAmortizationDepletion,1987000000.0
DepreciationAndAmortization,1987000000.0
OperatingGainsLosses,109000000.0
PensionAndEmployeeBenefitExpense,145000000.0
GainLossOnSaleOfBusiness,-36000000.0
NetIncomeFromContinuingOperations,-6979000000.0
TaxEffectOfUnusualItems,9144000.0
TaxRateForCalcs,0.254
NormalizedEBITDA,-8379000000.0
TotalUnusualItems,36000000.0
TotalUnusualItemsExcludingGoodwill,36000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-8402000000.0
ReconciledDepreciation,1987000000.0
ReconciledCostOfRevenue,14983000000.0
EBITDA,-8343000000.0
EBIT,-10330000000.0
NetInterestIncome,-691000000.0
InterestExpense,941000000.0
InterestIncome,250000000.0
NormalizedIncome,-8428856000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-6995000000.0
TotalExpenses,35335000000.0
TotalOperatingIncomeAsReported,-10689000000.0
DilutedAverageShares,553900000.0
BasicAverageShares,553900000.0
DilutedEPS,-12.63
BasicEPS,-12.63
DilutedNIAvailtoComStockholders,-6995000000.0
NetIncomeCommonStockholders,-6995000000.0
NetIncome,-6995000000.0
MinorityInterests,-16000000.0
NetIncomeIncludingNoncontrollingInterests,-6979000000.0
NetIncomeDiscontinuousOperations,1407000000.0
NetIncomeContinuousOperations,-8386000000.0
EarningsFromEquityInterestNetOfTax,18000000.0
TaxProvision,-2867000000.0
PretaxIncome,-11271000000.0
OtherIncomeExpense,145000000.0
OtherNonOperatingIncomeExpenses,109000000.0
SpecialIncomeCharges,36000000.0
GainOnSaleOfBusiness,36000000.0
ImpairmentOfCapitalAssets,0.0
GainOnSaleOfSecurity,
NetNonOperatingInterestIncomeExpense,-691000000.0
InterestExpenseNonOperating,941000000.0
InterestIncomeNonOperating,250000000.0
OperatingIncome,-10725000000.0
OperatingExpense,20352000000.0
ResearchAndDevelopment,1154000000.0
SellingGeneralAndAdministration,19198000000.0
GeneralAndAdministrativeExpense,21526000000.0
OtherGandA,21526000000.0
SalariesAndWages,-129000000.0
GrossProfit,9627000000.0
CostOfRevenue,14983000000.0
TotalRevenue,24610000000.0
OperatingRevenue,24610000000.0
